,cercospora_leaf_spot,healthy,nutrient_deficiency,powdery_mildew
cercospora_leaf_spot,139,20,26,6
healthy,13,52,3,0
nutrient_deficiency,5,9,28,0
powdery_mildew,0,0,0,30
