,cercospora_leaf_spot,healthy,nutrient_deficiency,powdery_mildew
cercospora_leaf_spot,164,12,13,2
healthy,12,41,3,0
nutrient_deficiency,14,5,31,0
powdery_mildew,1,0,0,34
