,cercospora_leaf_spot,healthy,nutrient_deficiency,powdery_mildew
cercospora_leaf_spot,172,5,4,0
healthy,15,38,12,3
nutrient_deficiency,10,3,50,0
powdery_mildew,0,0,0,20
