,cercospora_leaf_spot,healthy,nutrient_deficiency,powdery_mildew
cercospora_leaf_spot,153,9,11,2
healthy,15,54,1,1
nutrient_deficiency,9,3,40,0
powdery_mildew,1,0,0,32
