,bacterial_spot,cercospora_leaf_spot,curl_virus,healthy,nutrient_deficiency,powdery_mildew
bacterial_spot,249,0,3,2,0,0
cercospora_leaf_spot,0,345,2,4,0,0
curl_virus,1,1,316,2,2,0
healthy,0,1,0,304,0,0
nutrient_deficiency,0,0,1,1,212,0
powdery_mildew,0,0,0,0,0,141
