family,experiment,scenario,source_datasets,target_dataset,exact_target_overlap_removed,model_name,seed,device,pretrained,num_classes,label_order,n_train,n_val,n_test,parameters,trainable_parameters,best_epoch,best_val_monitor,elapsed_seconds,peak_gpu_memory_mb,test_accuracy,test_balanced_accuracy,test_macro_precision,test_macro_recall,test_macro_f1,test_macro_specificity,test_mcc,test_auc_ovr_macro,test_loss,metrics_path,dataset,fold,n_splits
baselines,multisource,B+C->A,B|C,A,0.0,mobilenet_v3_small,42,cuda,True,5,bacterial_spot|cercospora_leaf_spot|curl_virus|healthy|nutrient_deficiency,7728,860,1647,1522981,1522981,36,0.9718509889294571,1467.6691024950005,316.72119140625,0.575591985428051,0.5013362413300031,0.5211163620820644,0.5013362413300031,0.44622302266391134,0.8852055633031364,0.48698113872863763,,1.4695353731513023,/home/bt/Documents/BT/Chilli_CrossDataset/results/baselines/mobilenet_v3_small/multisource/B_plus_C_to_A/seed_42/metrics.json,,,
baselines,multisource,A+B->C,A|B,C,0.0,swin_t,42,cuda,True,4,cercospora_leaf_spot|healthy|nutrient_deficiency|powdery_mildew,5535,616,1657,27522430,27522430,1,0.9895714421300859,244.5243442530009,2829.86669921875,0.5787567893783947,0.5224986877472759,0.6524701450864048,0.5224986877472759,0.5091437594781755,0.8463122605616656,0.3859000604330231,,1.2978564581045737,/home/bt/Documents/BT/Chilli_CrossDataset/results/baselines/swin_t/multisource/A_plus_B_to_C/seed_42/metrics.json,,,
baselines,multisource,A+C->B,A|C,B,0.0,swin_t,42,cuda,True,6,bacterial_spot|cercospora_leaf_spot|curl_virus|healthy|nutrient_deficiency|powdery_mildew,2973,331,7936,27523968,27523968,35,0.9662249057799756,356.4655461130005,2719.0244140625,0.5834173387096774,0.5661347446086505,0.4734035490344839,0.5661347446086505,0.46706946215640827,0.9163796707527885,0.525216518795404,,1.8094976835193173,/home/bt/Documents/BT/Chilli_CrossDataset/results/baselines/swin_t/multisource/A_plus_C_to_B/seed_42/metrics.json,,,
baselines,multisource,B+C->A,B|C,A,0.0,swin_t,42,cuda,True,5,bacterial_spot|cercospora_leaf_spot|curl_virus|healthy|nutrient_deficiency,7728,860,1647,27523199,27523199,40,0.9657316035337618,1477.0072051850002,2692.30126953125,0.6557377049180327,0.6625354085928009,0.5491310599654445,0.6625354085928009,0.5928914518862517,0.908452577677617,0.5920942639567733,,1.5153339814681273,/home/bt/Documents/BT/Chilli_CrossDataset/results/baselines/swin_t/multisource/B_plus_C_to_A/seed_42/metrics.json,,,
baselines,multisource,A+B->C,A|B,C,0.0,mobilenet_v2,42,cuda,True,4,cercospora_leaf_spot|healthy|nutrient_deficiency|powdery_mildew,5535,616,1657,2228996,2228996,6,0.9922187622779219,386.68255464000003,1288.818359375,0.484007242003621,0.37957032768992804,0.5246957472528965,0.37957032768992804,0.3421437774027012,0.8126537767128106,0.24630618208629737,,1.3254405844670076,/home/bt/Documents/BT/Chilli_CrossDataset/results/baselines/mobilenet_v2/multisource/A_plus_B_to_C/seed_42/metrics.json,,,
baselines,multisource,A+C->B,A|C,B,0.0,mobilenet_v2,42,cuda,True,6,bacterial_spot|cercospora_leaf_spot|curl_virus|healthy|nutrient_deficiency|powdery_mildew,2973,331,7936,2231558,2231558,4,0.9499673726244917,122.72034371900008,1290.6484375,0.4698840725806452,0.46964228069474934,0.4079738061957496,0.46964228069474934,0.38352582842412986,0.8935252823254468,0.39217310522802495,,1.6908443716745223,/home/bt/Documents/BT/Chilli_CrossDataset/results/baselines/mobilenet_v2/multisource/A_plus_C_to_B/seed_42/metrics.json,,,
baselines,multisource,B+C->A,B|C,A,0.0,mobilenet_v2,42,cuda,True,5,bacterial_spot|cercospora_leaf_spot|curl_virus|healthy|nutrient_deficiency,7728,860,1647,2230277,2230277,15,0.9581367907846028,838.9838427330001,1290.0126953125,0.6757741347905283,0.6870277287357761,0.5518864627730758,0.6870277287357761,0.6077867142123872,0.9138825459707954,0.6168482171651553,,1.219617104301086,/home/bt/Documents/BT/Chilli_CrossDataset/results/baselines/mobilenet_v2/multisource/B_plus_C_to_A/seed_42/metrics.json,,,
baselines,multisource,A+B->C,A|B,C,0.0,resnet50,42,cuda,True,4,cercospora_leaf_spot|healthy|nutrient_deficiency|powdery_mildew,5535,616,1657,23516228,23516228,1,0.9923651437856166,248.48534360899976,1816.1943359375,0.5908267954133977,0.4507425841587031,0.6225441138913471,0.4507425841587031,0.47583435972062993,0.8197986726630435,0.30651133671477054,,1.1384638204024389,/home/bt/Documents/BT/Chilli_CrossDataset/results/baselines/resnet50/multisource/A_plus_B_to_C/seed_42/metrics.json,,,
baselines,multisource,A+C->B,A|C,B,0.0,resnet50,42,cuda,True,6,bacterial_spot|cercospora_leaf_spot|curl_virus|healthy|nutrient_deficiency|powdery_mildew,2973,331,7936,23520326,23520326,25,0.9659188444336245,274.2942628639994,1815.14892578125,0.6558719758064516,0.6789625287741364,0.6120273894833803,0.6789625287741364,0.6247777640777215,0.9304152251271193,0.6114694009167086,,1.6093937639868068,/home/bt/Documents/BT/Chilli_CrossDataset/results/baselines/resnet50/multisource/A_plus_C_to_B/seed_42/metrics.json,,,
baselines,multisource,B+C->A,B|C,A,0.0,resnet50,42,cuda,True,5,bacterial_spot|cercospora_leaf_spot|curl_virus|healthy|nutrient_deficiency,7728,860,1647,23518277,23518277,27,0.9711437069650077,1290.2007378409999,1822.45361328125,0.6460230722525805,0.6280010694234026,0.6004873847905767,0.6280010694234026,0.5658315047875704,0.9044948218610116,0.5966271669814602,,1.5096864711779814,/home/bt/Documents/BT/Chilli_CrossDataset/results/baselines/resnet50/multisource/B_plus_C_to_A/seed_42/metrics.json,,,
proposed,multisource,A+B->C,A|B,C,0.0,chilli_lite_gfnet,42,cuda,True,4,cercospora_leaf_spot|healthy|nutrient_deficiency|powdery_mildew,5535,616,1657,1025875,1025875,3,0.9923450041680063,297.8919303119983,336.49755859375,0.5509957754978877,0.35561502811609863,0.6174816862316862,0.35561502811609863,0.3576634232520597,0.7918194491201076,0.19916140285638953,,1.4171519703589952,/home/bt/Documents/BT/Chilli_CrossDataset/results/proposed/chilli_lite_gfnet/multisource/A_plus_B_to_C/seed_42/metrics.json,,,
proposed,multisource,A+C->B,A|C,B,0.0,chilli_lite_gfnet,42,cuda,True,6,bacterial_spot|cercospora_leaf_spot|curl_virus|healthy|nutrient_deficiency|powdery_mildew,2973,331,7936,1026197,1026197,14,0.954853156503753,190.22714021499996,337.7421875,0.3584929435483871,0.3731307520502521,0.34400472843439994,0.3731307520502521,0.30664140332658313,0.8715741025666008,0.24919623665039822,,2.340583767501577,/home/bt/Documents/BT/Chilli_CrossDataset/results/proposed/chilli_lite_gfnet/multisource/A_plus_C_to_B/seed_42/metrics.json,,,
proposed,multisource,B+C->A,B|C,A,0.0,chilli_lite_gfnet,42,cuda,True,5,bacterial_spot|cercospora_leaf_spot|curl_virus|healthy|nutrient_deficiency,7728,860,1647,1026036,1026036,17,0.9605479962733836,913.2222053060032,335.4912109375,0.573163327261688,0.5582407583592861,0.5409197827144258,0.5582407583592861,0.5036040743039315,0.8868182337637215,0.4811666616056034,,1.6455502699200923,/home/bt/Documents/BT/Chilli_CrossDataset/results/proposed/chilli_lite_gfnet/multisource/B_plus_C_to_A/seed_42/metrics.json,,,
