family,experiment,scenario,source_datasets,target_dataset,exact_target_overlap_removed,model_name,seed,device,pretrained,num_classes,label_order,n_train,n_val,n_test,parameters,trainable_parameters,best_epoch,best_val_monitor,elapsed_seconds,peak_gpu_memory_mb,test_accuracy,test_balanced_accuracy,test_macro_precision,test_macro_recall,test_macro_f1,test_macro_specificity,test_mcc,test_auc_ovr_macro,test_loss,metrics_path
baselines,pairwise,B->C,B,C,0,mobilenet_v3_small,42,cuda,True,4,cercospora_leaf_spot|healthy|nutrient_deficiency|powdery_mildew,4566,508,1657,1521956,1521956,6,0.9947709425965056,436.028714185999,318.05712890625,0.35908267954133977,0.39468446727126183,0.3354834671804667,0.39468446727126183,0.34175528424630286,0.7747568778289562,0.11598605141542115,,1.4633743430559452,/home/eecommulab/Documents/BT/Chilli_CrossDataset/results/baselines/mobilenet_v3_small/pairwise/B_to_C/seed_42/metrics.json
baselines,pairwise,A->B,A,B,0,mobilenet_v3_small,42,cuda,True,5,bacterial_spot|cercospora_leaf_spot|curl_virus|healthy|nutrient_deficiency,1482,165,7093,1522981,1522981,4,1.0,114.87072469299892,312.16943359375,0.4366276610742986,0.4799818744150004,0.4339797288094866,0.4799818744150004,0.39039482140867376,0.8625674052915654,0.3470271370266133,,1.7769387772491387,/home/eecommulab/Documents/BT/Chilli_CrossDataset/results/baselines/mobilenet_v3_small/pairwise/A_to_B/seed_42/metrics.json
baselines,pairwise,B->A,B,A,0,swin_t,42,cuda,True,5,bacterial_spot|cercospora_leaf_spot|curl_virus|healthy|nutrient_deficiency,6383,710,1647,27523199,27523199,25,0.9907500700313079,1520.6795586529988,2669.23095703125,0.4159077109896782,0.4584641204411316,0.5336748124275623,0.4584641204411316,0.37409480389067545,0.8479458595093682,0.29066881488542406,,2.0908712612894864,/home/eecommulab/Documents/BT/Chilli_CrossDataset/results/baselines/swin_t/pairwise/B_to_A/seed_42/metrics.json
baselines,pairwise,A->C,A,C,0,swin_t,42,cuda,True,3,cercospora_leaf_spot|healthy|nutrient_deficiency,969,108,1495,27521661,27521661,1,1.0,37.97292476800067,2669.20166015625,0.5826086956521739,0.5295038944978567,0.5277066190550123,0.5295038944978567,0.5070776495822763,0.7635099982554733,0.2917379327778177,,1.0346396704937548,/home/eecommulab/Documents/BT/Chilli_CrossDataset/results/baselines/swin_t/pairwise/A_to_C/seed_42/metrics.json
baselines,pairwise,C->B,C,B,0,swin_t,42,cuda,True,4,cercospora_leaf_spot|healthy|nutrient_deficiency|powdery_mildew,1491,166,5074,27522430,27522430,8,0.8162442252002273,95.45675961400411,2774.43603515625,0.4828537642885298,0.49173183085090016,0.553796105236048,0.49173183085090016,0.384915394827086,0.8290255103857032,0.3657625782745348,,1.6045627884519924,/home/eecommulab/Documents/BT/Chilli_CrossDataset/results/baselines/swin_t/pairwise/C_to_B/seed_42/metrics.json
baselines,pairwise,C->A,C,A,0,swin_t,42,cuda,True,3,cercospora_leaf_spot|healthy|nutrient_deficiency,1345,150,1077,27521661,27521661,2,0.8163398692810458,41.30278205599825,2669.20166015625,0.7669452181987001,0.7093233408080569,0.7925852959360483,0.7093233408080569,0.7289545630200015,0.871103697888783,0.6353115432270826,,0.6732380171032513,/home/eecommulab/Documents/BT/Chilli_CrossDataset/results/baselines/swin_t/pairwise/C_to_A/seed_42/metrics.json
baselines,pairwise,B->C,B,C,0,swin_t,42,cuda,True,4,cercospora_leaf_spot|healthy|nutrient_deficiency|powdery_mildew,4566,508,1657,27522430,27522430,5,0.9879021728237867,400.34076454500246,2669.21630859375,0.25528062764031384,0.4649241277140447,0.504857280786916,0.4649241277140447,0.30385193508656155,0.7777604348717102,0.23064963667639318,,3.25817489108214,/home/eecommulab/Documents/BT/Chilli_CrossDataset/results/baselines/swin_t/pairwise/B_to_C/seed_42/metrics.json
baselines,pairwise,A->B,A,B,0,swin_t,42,cuda,True,5,bacterial_spot|cercospora_leaf_spot|curl_virus|healthy|nutrient_deficiency,1482,165,7093,27523199,27523199,3,1.0,110.96064434300206,2669.23095703125,0.5415198082616665,0.5620460019416276,0.577727165115691,0.5620460019416276,0.5167428501224353,0.8847553162623178,0.5016775552145719,,1.6207168605682012,/home/eecommulab/Documents/BT/Chilli_CrossDataset/results/baselines/swin_t/pairwise/A_to_B/seed_42/metrics.json
baselines,pairwise,B->A,B,A,0,shufflenet_v2_x1_0,42,cuda,True,5,bacterial_spot|cercospora_leaf_spot|curl_virus|healthy|nutrient_deficiency,6383,710,1647,1258729,1258729,11,0.9883363421366367,853.3969226029985,387.888671875,0.5434122647237402,0.5411046639363493,0.551670162649015,0.5411046639363493,0.4856402926367509,0.8811070403523729,0.43501891714319263,,1.2609999059484556,/home/eecommulab/Documents/BT/Chilli_CrossDataset/results/baselines/shufflenet_v2_x1_0/pairwise/B_to_A/seed_42/metrics.json
baselines,pairwise,A->C,A,C,0,shufflenet_v2_x1_0,42,cuda,True,3,cercospora_leaf_spot|healthy|nutrient_deficiency,969,108,1495,1256679,1256679,3,1.0,45.287173742999585,387.849609375,0.5739130434782609,0.37711436595738945,0.4492251891181562,0.37711436595738945,0.36866808237228704,0.6899722411888621,0.0935294499081462,0.5849554833870387,1.0692692557547956,/home/eecommulab/Documents/BT/Chilli_CrossDataset/results/baselines/shufflenet_v2_x1_0/pairwise/A_to_C/seed_42/metrics.json
baselines,pairwise,C->B,C,B,0,shufflenet_v2_x1_0,42,cuda,True,4,cercospora_leaf_spot|healthy|nutrient_deficiency|powdery_mildew,1491,166,5074,1257704,1257704,14,0.7883979974968711,77.14949853099824,392.80322265625,0.5009854158454868,0.5805367215877861,0.5656396724401518,0.5805367215877861,0.5001587913067536,0.8393448698366046,0.39707512378059445,,1.6622110927629772,/home/eecommulab/Documents/BT/Chilli_CrossDataset/results/baselines/shufflenet_v2_x1_0/pairwise/C_to_B/seed_42/metrics.json
baselines,pairwise,C->A,C,A,0,shufflenet_v2_x1_0,42,cuda,True,3,cercospora_leaf_spot|healthy|nutrient_deficiency,1345,150,1077,1256679,1256679,7,0.7104491588362555,34.08676714399917,387.849609375,0.6230269266480966,0.5936257093025653,0.7753008021390375,0.5936257093025653,0.5963668020842862,0.7884636416356208,0.4660957971635213,,1.4835663573706852,/home/eecommulab/Documents/BT/Chilli_CrossDataset/results/baselines/shufflenet_v2_x1_0/pairwise/C_to_A/seed_42/metrics.json
baselines,pairwise,B->C,B,C,0,shufflenet_v2_x1_0,42,cuda,True,4,cercospora_leaf_spot|healthy|nutrient_deficiency|powdery_mildew,4566,508,1657,1257704,1257704,6,0.9944383285880183,429.2469447879994,387.869140625,0.32890766445383224,0.46905236856107757,0.48159887006504687,0.46905236856107757,0.3356791966653467,0.7839229210525054,0.19335073703494762,,1.7752101232226078,/home/eecommulab/Documents/BT/Chilli_CrossDataset/results/baselines/shufflenet_v2_x1_0/pairwise/B_to_C/seed_42/metrics.json
baselines,pairwise,A->B,A,B,0,shufflenet_v2_x1_0,42,cuda,True,5,bacterial_spot|cercospora_leaf_spot|curl_virus|healthy|nutrient_deficiency,1482,165,7093,1258729,1258729,7,1.0,131.16963094200037,382.95068359375,0.4838573241223742,0.5080330726928051,0.7064831870567192,0.5080330726928051,0.4223745148442248,0.8711799659000352,0.4145349599578748,,1.5974833413555816,/home/eecommulab/Documents/BT/Chilli_CrossDataset/results/baselines/shufflenet_v2_x1_0/pairwise/A_to_B/seed_42/metrics.json
baselines,pairwise,B->A,B,A,0,efficientnet_b4,42,cuda,True,5,bacterial_spot|cercospora_leaf_spot|curl_virus|healthy|nutrient_deficiency,6383,710,1647,17557581,17557581,13,0.992514234320004,919.2100410849998,3780.8916015625,0.8172434729811779,0.7464271271557875,0.7377206841903956,0.7464271271557875,0.6954266824041916,0.9569445551951631,0.7737834900156024,,0.7761168508575513,/home/eecommulab/Documents/BT/Chilli_CrossDataset/results/baselines/efficientnet_b4/pairwise/B_to_A/seed_42/metrics.json
baselines,pairwise,A->C,A,C,0,efficientnet_b4,42,cuda,True,3,cercospora_leaf_spot|healthy|nutrient_deficiency,969,108,1495,17553995,17553995,3,1.0,51.3596267560024,3848.45166015625,0.5645484949832776,0.39581863302644243,0.47026318770757186,0.39581863302644243,0.3982658927773243,0.6958558878439186,0.11094068702055283,,0.982007734001951,/home/eecommulab/Documents/BT/Chilli_CrossDataset/results/baselines/efficientnet_b4/pairwise/A_to_C/seed_42/metrics.json
baselines,pairwise,C->B,C,B,0,efficientnet_b4,42,cuda,True,4,cercospora_leaf_spot|healthy|nutrient_deficiency|powdery_mildew,1491,166,5074,17555788,17555788,19,0.7820489675160005,139.49786811300146,3780.857421875,0.627906976744186,0.62857059304532,0.6565196928648191,0.62857059304532,0.6312519937017186,0.8697890594604807,0.49381831680222493,,1.2141297064112417,/home/eecommulab/Documents/BT/Chilli_CrossDataset/results/baselines/efficientnet_b4/pairwise/C_to_B/seed_42/metrics.json
baselines,pairwise,C->A,C,A,0,efficientnet_b4,42,cuda,True,3,cercospora_leaf_spot|healthy|nutrient_deficiency,1345,150,1077,17553995,17553995,26,0.8543863803330844,131.82900218000213,3848.43798828125,0.8031569173630455,0.8011093876159379,0.7752961699588511,0.8011093876159379,0.7841418765336298,0.9010894839027551,0.6916742448757002,,0.6219640580170295,/home/eecommulab/Documents/BT/Chilli_CrossDataset/results/baselines/efficientnet_b4/pairwise/C_to_A/seed_42/metrics.json
baselines,pairwise,B->C,B,C,0,efficientnet_b4,42,cuda,True,4,cercospora_leaf_spot|healthy|nutrient_deficiency|powdery_mildew,4566,508,1657,17555788,17555788,24,0.9964099405332238,969.7967841130012,3780.857421875,0.5419432709716355,0.37057430524772694,0.5158930214723175,0.37057430524772694,0.3943631251010418,0.778873154321776,0.16472273873123705,,1.412340914973846,/home/eecommulab/Documents/BT/Chilli_CrossDataset/results/baselines/efficientnet_b4/pairwise/B_to_C/seed_42/metrics.json
baselines,pairwise,A->B,A,B,0,efficientnet_b4,42,cuda,True,5,bacterial_spot|cercospora_leaf_spot|curl_virus|healthy|nutrient_deficiency,1482,165,7093,17557581,17557581,5,1.0,130.60680532300103,3780.8916015625,0.42986042577188777,0.45091698199467434,0.6325318956001412,0.45091698199467434,0.35159604870123207,0.8586534729169101,0.3480697906958557,,1.59954368074735,/home/eecommulab/Documents/BT/Chilli_CrossDataset/results/baselines/efficientnet_b4/pairwise/A_to_B/seed_42/metrics.json
