model,fold,epoch,learning_rate,train_loss,val_loss,train_accuracy,val_accuracy,train_f1_macro,val_f1_macro
ChiliLiteV2_MNV3S_MultiLevel_ColorGate,10,1,0.0003,0.8609902784301013,0.5756797036816997,0.7731707317073171,0.9225806451612903,0.7734725641088419,0.9199999999999999
ChiliLiteV2_MNV3S_MultiLevel_ColorGate,10,2,0.0002996346075389736,0.44872041085871256,0.47399371939320717,0.9780487804878049,0.967741935483871,0.97809547530745,0.9681195516811956
ChiliLiteV2_MNV3S_MultiLevel_ColorGate,10,3,0.0002985402103112355,0.4315956234350437,0.426628299297825,0.988780487804878,0.9806451612903225,0.9887834542438053,0.974733758264381
ChiliLiteV2_MNV3S_MultiLevel_ColorGate,10,4,0.0002967221401100708,0.4049851786799547,0.40288529626784786,0.9965853658536585,0.9935483870967742,0.9965853658536584,0.9937362368485442
ChiliLiteV2_MNV3S_MultiLevel_ColorGate,10,5,0.00029418925439074776,0.4054709263545711,0.404664013847228,0.9975609756097561,0.9935483870967742,0.9975591764190502,0.9937362368485442
ChiliLiteV2_MNV3S_MultiLevel_ColorGate,10,6,0.0002909538931178862,0.41569070408983927,0.4042202628427936,0.9970731707317073,0.9935483870967742,0.9970719715254936,0.9937116187668877
ChiliLiteV2_MNV3S_MultiLevel_ColorGate,10,7,0.0002870318186463901,0.40091977360771924,0.3988333580955382,0.9995121951219512,0.9935483870967742,0.9995121943964819,0.9937116187668877
ChiliLiteV2_MNV3S_MultiLevel_ColorGate,10,8,0.000282442138928839,0.40046037766991593,0.3915883218088458,0.9980487804878049,1.0,0.9980469623866141,1.0
ChiliLiteV2_MNV3S_MultiLevel_ColorGate,10,9,0.0002772072144234638,0.3985976283724715,0.42604397150778,0.9985365853658537,0.9806451612903225,0.9985365846403843,0.9810229799851742
ChiliLiteV2_MNV3S_MultiLevel_ColorGate,10,10,0.00027135254915624206,0.4015734418717826,0.4146842295123685,0.9965853658536585,0.9870967741935484,0.9965841702854343,0.9873891625615764
ChiliLiteV2_MNV3S_MultiLevel_ColorGate,10,11,0.0002649066664678466,0.40001294147677535,0.3987562604488865,0.9975609756097561,0.9935483870967742,0.9975621632031126,0.9937362368485442
ChiliLiteV2_MNV3S_MultiLevel_ColorGate,10,12,0.0002579009700507976,0.39801530256503964,0.40724177956581115,0.9990243902439024,0.9935483870967742,0.9990237917263519,0.9937116187668877
ChiliLiteV2_MNV3S_MultiLevel_ColorGate,10,13,0.00025036959095382864,0.4049330514233287,0.3924539667944754,0.9975609756097561,1.0,0.9975656834336541,1.0
ChiliLiteV2_MNV3S_MultiLevel_ColorGate,10,14,0.00024234922129884865,0.40339244679706854,0.3911464587334664,0.9965853658536585,1.0,0.9965859563857247,1.0
ChiliLiteV2_MNV3S_MultiLevel_ColorGate,10,15,0.00023387893552061193,0.4123164916620022,0.39297307748948374,0.9941463414634146,1.0,0.9941550501121788,1.0
