,cercospora_leaf_spot,healthy,nutrient_deficiency,powdery_mildew
cercospora_leaf_spot,564,910,155,54
healthy,714,327,428,12
nutrient_deficiency,100,4,963,0
powdery_mildew,48,0,329,466
