,cercospora_leaf_spot,healthy,nutrient_deficiency,powdery_mildew
cercospora_leaf_spot,176,9,5,1
healthy,8,48,0,0
nutrient_deficiency,11,5,34,0
powdery_mildew,0,1,0,34
