,cercospora_leaf_spot,healthy,nutrient_deficiency,powdery_mildew
cercospora_leaf_spot,109,917,530,127
healthy,9,1209,262,1
nutrient_deficiency,8,27,1032,0
powdery_mildew,7,87,649,100
