,cercospora_leaf_spot,healthy,nutrient_deficiency,powdery_mildew
cercospora_leaf_spot,137,15,27,2
healthy,9,46,11,2
nutrient_deficiency,14,6,43,0
powdery_mildew,0,1,0,19
