,cercospora_leaf_spot,healthy,nutrient_deficiency,powdery_mildew
cercospora_leaf_spot,708,111,76,4
healthy,216,107,6,0
nutrient_deficiency,153,38,75,1
powdery_mildew,80,65,0,17
