,cercospora_leaf_spot,healthy,nutrient_deficiency,powdery_mildew
cercospora_leaf_spot,501,365,31,2
healthy,77,246,5,1
nutrient_deficiency,102,113,52,0
powdery_mildew,10,149,0,3
