model_internal,model,epoch,train_loss_mean,train_loss_std,val_loss_mean,val_loss_std,train_accuracy_mean,train_accuracy_std,val_accuracy_mean,val_accuracy_std,train_f1_macro_mean,train_f1_macro_std,val_f1_macro_mean,val_f1_macro_std,folds
ChiliLiteV2_NoColor_Ablation,Proposed,1,0.7360731803149712,0.0389507283775364,0.4838321912096393,0.04222970943797027,0.8351219512195123,0.02489345396884572,0.9638709677419355,0.02359719006338955,0.8356723222547625,0.02446714802861135,0.9619501280058846,0.023022127598792953,10
ChiliLiteV2_NoColor_Ablation,Proposed,2,0.43041184450068126,0.008890162160033558,0.41744746056295207,0.01494862387724285,0.9861463414634146,0.004076082564340397,0.9883870967741935,0.009994795732148214,0.9861479613367541,0.0040716401466409065,0.986358947149532,0.011627704087474577,10
ChiliLiteV2_NoColor_Ablation,Proposed,3,0.41763379388902244,0.00933614471522496,0.40436727787217785,0.011110085236536178,0.9919512195121951,0.0038011934073369125,0.9954838709677419,0.0068345155191702174,0.9919556567486948,0.003791677243517646,0.9947178804909198,0.008173516933004894,10
ChiliLiteV2_NoColor_Ablation,Proposed,4,0.41585384370350253,0.012340733275641978,0.401737000423093,0.005310928082363204,0.9924390243902439,0.004334179816345278,0.9948387096774194,0.004080358271185037,0.9924371389803639,0.004333932336266916,0.994066231854613,0.005283210175853356,10
ChiliLiteV2_NoColor_Ablation,Proposed,5,0.4063431811914211,0.006674022540036585,0.3986605412344778,0.006708934745954734,0.9964878048780488,0.0017482510641580206,0.9967741935483871,0.0034002985593208513,0.9964881589875855,0.0017470192767158363,0.9961896277718665,0.004101985665374676,10
ChiliLiteV2_NoColor_Ablation,Proposed,6,0.406161245322809,0.007933692032570085,0.39559805162491335,0.0050723556317075775,0.9956585365853658,0.002088022681950105,0.9987096774193548,0.0027202388474567,0.9956591992682282,0.002086453926409129,0.9987640646915503,0.002605881906222465,10
ChiliLiteV2_NoColor_Ablation,Proposed,7,0.4034879175250123,0.005992190648567354,0.4000354766076611,0.0068776932692757075,0.9968292682926829,0.0021231812775935454,0.9948387096774194,0.00408035827118503,0.9968302637847117,0.0021221267591003705,0.994848862363434,0.003970471261700441,10
ChiliLiteV2_NoColor_Ablation,Proposed,8,0.40306112341764494,0.009648929756843793,0.397606347856983,0.009766141039509896,0.9963414634146341,0.0033971678724839275,0.996774193548387,0.005482816681282551,0.996340821425371,0.0034012172549408894,0.9968871810471578,0.005286481430749247,10
ChiliLiteV2_NoColor_Ablation,Proposed,9,0.4052008433138452,0.00585600726727163,0.40942158604821854,0.03435894130381499,0.9954634146341463,0.002788511221264612,0.9909677419354839,0.015267302666063534,0.9954612206643892,0.0027920145038052,0.991410436820512,0.01435951212327897,10
ChiliLiteV2_NoColor_Ablation,Proposed,10,0.4071321526969351,0.012295396764097626,0.395226860286728,0.005164264984153007,0.9945121951219512,0.004438373425486022,0.996774193548387,0.00487696094205455,0.9945234231795053,0.004414373015065984,0.9968623545009486,0.0047433834555814245,8
ChiliLiteV2_NoColor_Ablation,Proposed,11,0.39963737749471895,0.007934579646819288,0.40375666392426335,0.017341623998532094,0.9974390243902439,0.002561943293754279,0.9935483870967742,0.009123958466923229,0.9974381041027616,0.002563065168795954,0.9936898042084296,0.008945906582506947,4
ChiliLiteV2_NoColor_Ablation,Proposed,12,0.40096815174188066,0.006245908374270492,0.4048396905263265,0.012781367802499345,0.9978861788617887,0.001971439943574288,0.9870967741935485,0.011174521339153995,0.9978892974058794,0.0019676261929144397,0.9874146071728926,0.01109534469605017,3
ChiliLiteV2_NoColor_Ablation,Proposed,13,0.3993908447172584,0.006466086438410659,0.4098585456609726,0.0165579929531839,0.997560975609756,0.0013797205486566794,0.9903225806451612,0.004561979233461569,0.997560077107961,0.001380990196112655,0.9892678644971815,0.006319232781029912,2
EfficientNet_B0,EfficientNet-B0,1,0.6602793249560566,0.011990081051281822,0.4170860081141995,0.0053189249841354615,0.903170731707317,0.006979569441084483,0.9987096774193548,0.0027202388474566654,0.9032033624649853,0.006945555499095492,0.9987423237533776,0.002651414332279101,10
EfficientNet_B0,EfficientNet-B0,2,0.4295419188941397,0.004933718507033051,0.4058874450575921,0.007280405935108118,0.992780487804878,0.0028702756635598284,0.9993548387096775,0.002040179135592514,0.9927803501685206,0.002865056348752358,0.9993711618766887,0.001988560749209328,10
EfficientNet_B0,EfficientNet-B0,3,0.4192700193102767,0.00417839652252423,0.4035623883047411,0.004719961246492817,0.9948780487804878,0.0018857582934541325,0.9980645161290322,0.0031164251067074176,0.9948796757411653,0.001884256387774098,0.9978810401094853,0.0034700066988962016,10
EfficientNet_B0,EfficientNet-B0,4,0.4122892248601448,0.00645775419697881,0.3979913536387105,0.0033185573316857624,0.9966829268292683,0.002191203971111882,1.0,0.0,0.996682909419411,0.0021911280454672668,1.0,0.0,10
EfficientNet_B0,EfficientNet-B0,5,0.4059126284064316,0.0034158115371311047,0.39732944924985203,0.00297274222843791,0.9985853658536584,0.0008741255320790986,0.9993548387096775,0.0020401791355924804,0.9985851757792907,0.0008743455272594627,0.9993711618766887,0.0019885607492093303,10
EfficientNet_B0,EfficientNet-B0,6,0.40333398366555934,0.002568238224754474,0.3967656805246107,0.002652380923868887,0.998341463414634,0.0009536831413733792,0.9987096774193548,0.0027202388474566667,0.9983413395828185,0.0009531897100246928,0.998512340040962,0.003184761613334774,10
EfficientNet_B0,EfficientNet-B0,7,0.40257053959660416,0.0029483767708155424,0.3957033720131843,0.0036045824404636008,0.9980975609756098,0.0011135540597245078,0.9987096774193549,0.0027202388474566745,0.9980975522068951,0.0011137621961331869,0.9987447855615432,0.0026462307467496997,10
EfficientNet_B0,EfficientNet-B0,8,0.40013111817836766,0.0028370458373109773,0.3964062231202279,0.004490973434838078,0.9986341463414634,0.0011451588202705603,0.9987096774193549,0.0027202388474566745,0.9986345565260472,0.001144675364440556,0.9987472473697089,0.002641034437657951,10
EfficientNet_B0,EfficientNet-B0,9,0.3982636702060699,0.0009802581872809788,0.40095057372123966,0.0030039799190684897,0.9997560975609756,0.00034493013716416985,0.9967741935483871,0.004561979233461648,0.999756097198241,0.00034493065014838914,0.9968558093834439,0.004446557012620022,2
EfficientNet_B0,EfficientNet-B0,10,0.3999333836974167,,0.3952990774185427,,0.9990243902439024,,1.0,,0.9990243902439024,,1.0,,1
EfficientNet_B0,EfficientNet-B0,11,0.3982476275141646,,0.3925769767453593,,0.9980487804878048,,1.0,,0.9980487761296674,,1.0,,1
MobileNetV3_Small,MobileNetV3-Small,1,0.6975404390358343,0.01397936177537871,0.5063428260818604,0.028820243359078804,0.8732682926829268,0.009142781601719985,0.9606451612903225,0.014727650467323852,0.8732422043109359,0.009242701101922442,0.9592081640937262,0.01502260620569439,10
MobileNetV3_Small,MobileNetV3-Small,2,0.4440427731130181,0.005771224315350592,0.43354707146844557,0.012743964969579047,0.9899512195121952,0.003341849126156827,0.992258064516129,0.010447275528164391,0.989945763106084,0.0033401688303207103,0.9914723577481377,0.010788290637000595,10
MobileNetV3_Small,MobileNetV3-Small,3,0.42777026766102483,0.004835504540133137,0.4162981369226209,0.005792081275204495,0.9957560975609756,0.002095606324403023,0.996774193548387,0.004561979233461603,0.9957568152063784,0.0020941790423879324,0.9959127653388782,0.0059952990789671435,10
MobileNetV3_Small,MobileNetV3-Small,4,0.42102675391988054,0.00474901399655889,0.41168624762565853,0.0056187863185594,0.9959512195121951,0.002265362212275482,0.9980645161290322,0.004354506823939051,0.9959501177591411,0.0022665744721444593,0.9976313369334932,0.005643928832412816,10
MobileNetV3_Small,MobileNetV3-Small,5,0.41405367449434793,0.004451514465372639,0.40912755662395106,0.005889277196204891,0.9984390243902439,0.0011904393637543387,0.9980645161290322,0.0031164251067074145,0.9984390751100122,0.0011904777448792758,0.9981318299079559,0.003008309524353971,10
MobileNetV3_Small,MobileNetV3-Small,6,0.41321460443298985,0.002662992376645522,0.40548753144279603,0.004434501523375862,0.9975121951219512,0.0008741255320790358,0.9974193548387097,0.004511005798581308,0.9975121283781958,0.0008742734979673813,0.9974837018177007,0.004403207452483065,10
MobileNetV3_Small,MobileNetV3-Small,7,0.40865134176975343,0.002589473356220723,0.40200406157201335,0.004110939084039673,0.9984878048780488,0.0007433580130512678,0.9987096774193548,0.0027202388474566737,0.9984879194328252,0.0007427196243809782,0.9985345756816273,0.003129788769242643,10
MobileNetV3_Small,MobileNetV3-Small,8,0.40656689717129957,0.0026281116482961024,0.4001915975539915,0.0033889349328978437,0.9984878048780488,0.0011370493487510723,0.9987096774193549,0.0027202388474566745,0.9984880952208751,0.0011366200665996135,0.9987472473697089,0.002641034437657951,10
MobileNetV3_Small,MobileNetV3-Small,9,0.40664972097117724,0.004492685034413674,0.4003294611553992,0.00721529542818677,0.9980975609756098,0.0018460835095264624,0.9974193548387097,0.006232850213414865,0.9980979678949857,0.0018440095272450694,0.9975334919855678,0.005934892847828999,10
MobileNetV3_Small,MobileNetV3-Small,10,0.40568522977247473,0.0027831868799120278,0.3999047936162641,0.0048478573652649196,0.9989268292682926,0.0010575357750575772,0.9961290322580645,0.005770498006451084,0.998927064181621,0.0010572242906792355,0.9962448035769425,0.005596491118050842,5
MobileNetV3_Small,MobileNetV3-Small,11,0.4039426891009013,0.0008080025745829022,0.398100120534179,0.002406570267450839,0.9985365853658535,0.00048780487804889194,1.0,0.0,0.9985375686380537,0.00048721662745352523,1.0,0.0,3
MobileNetV3_Small,MobileNetV3-Small,12,0.3976233874297724,,0.4042058856256546,,1.0,,0.9935483870967742,,1.0,,0.9937116187668876,,1
