,cercospora_leaf_spot,healthy,nutrient_deficiency,powdery_mildew
cercospora_leaf_spot,174,6,8,3
healthy,7,59,2,0
nutrient_deficiency,12,5,25,0
powdery_mildew,0,1,0,29
