,cercospora_leaf_spot,healthy,nutrient_deficiency,powdery_mildew
cercospora_leaf_spot,751,69,70,9
healthy,290,32,6,1
nutrient_deficiency,173,26,66,2
powdery_mildew,96,17,0,49
