,cercospora_leaf_spot,healthy,nutrient_deficiency,powdery_mildew
cercospora_leaf_spot,12,37,818,32
healthy,0,19,299,11
nutrient_deficiency,1,5,260,1
powdery_mildew,2,6,22,132
