,bacterial_spot,cercospora_leaf_spot,curl_virus,healthy,nutrient_deficiency,powdery_mildew
bacterial_spot,292,1,3,2,0,0
cercospora_leaf_spot,0,532,4,21,6,3
curl_virus,1,2,392,2,3,0
healthy,0,15,3,410,3,3
nutrient_deficiency,0,33,0,10,309,0
powdery_mildew,0,2,0,0,0,196
