class_index,class_name,support,precision,recall_sensitivity,specificity,f1,auc_ovr,tp,fp,fn,tn
0,bacterial_spot,1280,0.6818897637795276,0.6765625,0.9393028846153846,0.6792156862745098,0.8857722355769231,866,404,414,6252
1,cercospora_leaf_spot,1683,0.330090340514246,0.28223410576351754,0.8458339996801535,0.3042921204356182,0.6690462256073115,475,964,1208,5289
2,curl_virus,1582,0.0,0.0,1.0,0.0,0.6280448084704897,0,0,1582,6354
3,healthy,1481,0.26705940108001963,0.3673193787981094,0.7687064291247095,0.30926662876634453,0.6359578675617988,544,1493,937,4962
4,nutrient_deficiency,1067,0.29442282749675747,0.8509840674789129,0.6832144416945698,0.4374849433871356,0.8409340253393845,908,2176,159,4693
5,powdery_mildew,843,0.49056603773584906,0.06168446026097272,0.9923868602847878,0.1095890410958904,0.6908563887440862,52,54,791,7039
