class_index,class_name,support,precision,recall_sensitivity,specificity,f1,auc_ovr,tp,fp,fn,tn
0,bacterial_spot,28,0.9285714285714286,0.9285714285714286,0.9933774834437086,0.9285714285714286,0.9881149479659413,26,2,2,300
1,cercospora_leaf_spot,39,0.9736842105263158,0.9487179487179487,0.9965635738831615,0.961038961038961,0.9991188650982465,37,1,2,290
2,curl_virus,81,0.9878048780487805,1.0,0.9959839357429718,0.9938650306748467,0.9999504189597898,81,1,0,248
3,healthy,90,1.0,0.9888888888888889,1.0,0.994413407821229,0.9999537037037036,89,0,1,240
4,nutrient_deficiency,92,0.989247311827957,1.0,0.9957983193277311,0.9945945945945946,0.9957983193277311,92,1,0,237
