,cercospora_leaf_spot,healthy,nutrient_deficiency,powdery_mildew
cercospora_leaf_spot,145,7,5,4
healthy,9,53,4,0
nutrient_deficiency,18,2,40,0
powdery_mildew,1,1,0,42
