,bacterial_spot,cercospora_leaf_spot,curl_virus,healthy,nutrient_deficiency,powdery_mildew
bacterial_spot,249,0,1,4,0,0
cercospora_leaf_spot,0,337,5,8,1,0
curl_virus,1,1,314,5,1,0
healthy,0,1,0,304,0,0
nutrient_deficiency,0,1,1,0,211,1
powdery_mildew,0,0,0,0,0,141
