,bacterial_spot,cercospora_leaf_spot,curl_virus,healthy,nutrient_deficiency,powdery_mildew
bacterial_spot,676,546,0,49,8,1
cercospora_leaf_spot,12,1355,0,287,18,11
curl_virus,4,1429,0,139,8,2
healthy,3,1289,0,183,6,0
nutrient_deficiency,5,606,0,9,447,0
powdery_mildew,9,663,0,0,1,170
