,bacterial_spot,cercospora_leaf_spot,curl_virus,healthy,nutrient_deficiency,powdery_mildew
bacterial_spot,245,0,3,5,1,0
cercospora_leaf_spot,0,340,1,10,0,0
curl_virus,1,4,310,4,3,0
healthy,0,1,1,302,1,0
nutrient_deficiency,0,0,0,0,214,0
powdery_mildew,0,0,0,0,0,141
