class_index,class_name,support,precision,recall_sensitivity,specificity,f1,auc_ovr,tp,fp,fn,tn
0,bacterial_spot,28,0.7878787878787878,0.9285714285714286,0.9768211920529801,0.8524590163934426,0.992135761589404,26,7,2,295
1,cercospora_leaf_spot,39,0.9696969696969697,0.8205128205128205,0.9965635738831615,0.8888888888888888,0.9831262666314212,32,1,7,290
2,curl_virus,81,1.0,1.0,1.0,1.0,1.0,81,0,0,249
3,healthy,90,1.0,1.0,1.0,1.0,1.0,90,0,0,240
4,nutrient_deficiency,92,0.989247311827957,1.0,0.9957983193277311,0.9945945945945946,0.9999543295579101,92,1,0,237
