,bacterial_spot,cercospora_leaf_spot,curl_virus,healthy,nutrient_deficiency,powdery_mildew
bacterial_spot,289,1,7,0,1,0
cercospora_leaf_spot,0,504,6,12,4,2
curl_virus,1,5,387,1,3,0
healthy,1,5,2,449,4,0
nutrient_deficiency,0,16,2,4,328,0
powdery_mildew,0,1,0,1,0,212
