,cercospora_leaf_spot,healthy,nutrient_deficiency,powdery_mildew
cercospora_leaf_spot,141,5,12,3
healthy,10,50,6,0
nutrient_deficiency,14,1,45,0
powdery_mildew,3,0,0,41
