,cercospora_leaf_spot,healthy,nutrient_deficiency,powdery_mildew
cercospora_leaf_spot,736,105,58,0
healthy,222,101,6,0
nutrient_deficiency,167,29,71,0
powdery_mildew,96,61,0,5
