,cercospora_leaf_spot,healthy,nutrient_deficiency,powdery_mildew
cercospora_leaf_spot,134,13,10,4
healthy,10,54,2,0
nutrient_deficiency,18,6,36,0
powdery_mildew,1,1,0,42
