,cercospora_leaf_spot,healthy,nutrient_deficiency,powdery_mildew
cercospora_leaf_spot,156,14,14,7
healthy,8,56,4,0
nutrient_deficiency,11,5,26,0
powdery_mildew,0,0,0,30
