,bacterial_spot,cercospora_leaf_spot,curl_virus,healthy,nutrient_deficiency,powdery_mildew
bacterial_spot,292,1,3,1,1,0
cercospora_leaf_spot,0,518,4,4,1,1
curl_virus,2,6,387,0,2,0
healthy,1,11,1,445,3,0
nutrient_deficiency,2,16,1,3,328,0
powdery_mildew,0,2,0,1,0,211
