epoch,learning_rate,train_accuracy,train_balanced_accuracy,train_macro_precision,train_macro_recall,train_macro_f1,train_macro_specificity,train_mcc,train_auc_ovr_macro,train_loss,val_accuracy,val_balanced_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,val_macro_specificity,val_mcc,val_auc_ovr_macro,val_loss
1,9.999999999999999e-05,0.56070826306914,0.5001406660645417,0.6115157963942353,0.5001406660645417,0.503662576769829,0.8808448871997179,0.44980086863909985,0.8302250516811508,1.592035842569251,0.5454545454545454,0.5090683229813664,0.6207855973813421,0.5090683229813664,0.45809873500699083,0.8772164948453607,0.4673423353766386,0.9654655960402184,1.645805025100708
2,0.00019999999999999998,0.8381112984822934,0.8234317917124834,0.8286413143756122,0.8234317917124834,0.814725713407101,0.958160288646822,0.7931897948539418,0.9603060358571586,1.3417127101044906,0.9545454545454546,0.9368944099378883,0.9269459298871064,0.9368944099378883,0.9306858114329029,0.9886144329896908,0.9410841358225377,0.9967390746263922,1.1625612735748292
3,0.0003,0.9384485666104553,0.9369827267045409,0.9208244784925386,0.9369827267045409,0.9281021090699995,0.9844933616532916,0.9196933012049188,,0.9384843377690566,0.9772727272727273,0.96,0.9842105263157894,0.96,0.9705138535920164,0.9938144329896907,0.9708363639207626,,0.8264968037605286
4,0.0003,0.9662731871838112,0.9651340649431205,0.9498015407352007,0.9651340649431205,0.9569867164821296,0.9917891931539362,0.9558841903585827,,0.7082073233629528,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.7408964276313782
5,0.0002994311073647159,0.9738617200674536,0.9730328014033066,0.9602264449901539,0.9730328014033066,0.9662521329501086,0.993616578235337,0.9658112638214142,,0.6189350987735548,0.9924242424242424,0.9714285714285715,0.9944444444444445,0.9714285714285715,0.9817984832069339,0.9979381443298969,0.9901844566705613,,0.6669991374015808
6,0.0002977287590753251,0.9856661045531198,0.9831288257782876,0.979047664066343,0.9831288257782876,0.9810279779191339,0.9964748741601568,0.9811741003573302,,0.5918590097050918,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6169410824775696
7,0.00029490591103021566,0.9865092748735245,0.9839226440003876,0.9824290869308419,0.9839226440003876,0.983148677683406,0.9965866735805495,0.9822852545857751,,0.5667612803609747,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.6163187265396118
8,0.00029098404680749326,0.984822934232715,0.9824350855744456,0.9753123096175564,0.9824350855744456,0.9785835217020044,0.99641173011222,0.9801244839515951,,0.5718651131579751,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6000611305236816
9,0.00028599301416197916,0.9924114671163575,0.993151876764928,0.9892631635481954,0.993151876764928,0.9911615099105822,0.9980938558718428,0.9900340569688824,,0.5535755384909479,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.588000750541687
10,0.00027997079786577355,0.9974704890387859,0.9943154660293615,0.998176291793313,0.9943154660293615,0.996218168599848,0.9993023255813954,0.9966777484426699,,0.5371802386484648,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5842999160289765
11,0.0002729632306212043,0.9966273187183811,0.9961392133439254,0.9951304592678465,0.9961392133439254,0.9956270000475437,0.9991576097943021,0.9955694702747921,,0.5279405807193956,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.5832095801830292
12,0.00026502364424628715,0.9983136593591906,0.9987730061349694,0.996116504854369,0.9987730061349694,0.9974238310708898,0.99963133640553,0.9977868040067223,,0.5235869351186251,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5804896056652069
