,cercospora_leaf_spot,healthy,nutrient_deficiency,powdery_mildew
cercospora_leaf_spot,152,26,1,2
healthy,7,57,3,1
nutrient_deficiency,20,9,34,0
powdery_mildew,0,1,0,19
