,cercospora_leaf_spot,healthy,nutrient_deficiency,powdery_mildew
cercospora_leaf_spot,136,15,4,6
healthy,8,54,4,0
nutrient_deficiency,16,3,41,0
powdery_mildew,1,0,0,43
