,cercospora_leaf_spot,healthy,nutrient_deficiency,powdery_mildew
cercospora_leaf_spot,527,523,617,16
healthy,152,652,677,0
nutrient_deficiency,49,4,1013,1
powdery_mildew,46,13,733,51
