,cercospora_leaf_spot,healthy,nutrient_deficiency,powdery_mildew
cercospora_leaf_spot,161,17,12,1
healthy,10,44,2,0
nutrient_deficiency,20,5,25,0
powdery_mildew,0,0,1,34
