,cercospora_leaf_spot,healthy,nutrient_deficiency,powdery_mildew
cercospora_leaf_spot,437,284,699,263
healthy,83,383,816,199
nutrient_deficiency,99,1,959,8
powdery_mildew,7,6,67,763
