,cercospora_leaf_spot,healthy,nutrient_deficiency,powdery_mildew
cercospora_leaf_spot,80,1038,406,159
healthy,38,594,778,71
nutrient_deficiency,6,149,885,27
powdery_mildew,37,131,352,323
