,cercospora_leaf_spot,healthy,nutrient_deficiency,powdery_mildew
cercospora_leaf_spot,170,17,2,2
healthy,7,48,1,0
nutrient_deficiency,15,6,29,0
powdery_mildew,0,0,0,35
