regime,job_tag,repeat,method,mean_BER,mean_log10_BER
matched,MATCHED_AWGN,0,CNN_RNND,0.05049391113281249,-1.815242514124885
matched,MATCHED_AWGN,0,ML,0.034647208251953124,-2.2143529657620347
matched,MATCHED_AWGN,0,PNND,0.04248171417236328,-1.9601836438683837
matched,MATCHED_AWGN,0,Proposed_CA_CNN_RNND,0.049180348714192704,-1.733301293806347
matched,MATCHED_AWGN,0,RNND_Zhu,0.04054654613829496,-2.010803666638849
matched,MATCHED_AWGN,0,SC,0.03472263115776909,-2.214013251951616
matched,MATCHED_AWGN,1,CNN_RNND,0.05110388483683268,-1.7785284610470304
matched,MATCHED_AWGN,1,ML,0.034385885314941404,-2.21237040655824
matched,MATCHED_AWGN,1,PNND,0.04157573400252905,-1.9348919736774917
matched,MATCHED_AWGN,1,Proposed_CA_CNN_RNND,0.04617057734237605,-1.7749265891106099
matched,MATCHED_AWGN,1,RNND_Zhu,0.039622739766438805,-2.010253111704606
matched,MATCHED_AWGN,1,SC,0.03427324474516369,-2.208895126591427
matched,MATCHED_AWGN,2,CNN_RNND,0.051401315409342445,-1.7725129856025723
matched,MATCHED_AWGN,2,ML,0.03393927490234375,-2.2933222085346547
matched,MATCHED_AWGN,2,PNND,0.03927313140869141,-2.017557901120348
matched,MATCHED_AWGN,2,Proposed_CA_CNN_RNND,0.04708828645593979,-1.7358928105223388
matched,MATCHED_AWGN,2,RNND_Zhu,0.039768472373812806,-2.0033227273792797
matched,MATCHED_AWGN,2,SC,0.03410457845052083,-2.2905200582162624
matched,MATCHED_AWGN,3,CNN_RNND,0.05036773193359374,-1.816519599171655
matched,MATCHED_AWGN,3,ML,0.034678217909071184,-2.2103793033138563
matched,MATCHED_AWGN,3,PNND,0.04267188110351563,-1.948194685425001
matched,MATCHED_AWGN,3,Proposed_CA_CNN_RNND,0.04804825177873884,-1.7820021730480575
matched,MATCHED_AWGN,3,RNND_Zhu,0.04114609084185432,-1.9974580093072045
matched,MATCHED_AWGN,3,SC,0.0350661119249132,-2.2076235513653444
matched,MATCHED_AWGN,4,CNN_RNND,0.04957306450737848,-1.8192586486638318
matched,MATCHED_AWGN,4,ML,0.03403697631835938,-2.236740497842022
matched,MATCHED_AWGN,4,PNND,0.04394165612423059,-1.8892497444256329
matched,MATCHED_AWGN,4,Proposed_CA_CNN_RNND,0.048793859649122806,-1.7306379521109456
matched,MATCHED_AWGN,4,RNND_Zhu,0.040191714250153186,-2.0025944309799737
matched,MATCHED_AWGN,4,SC,0.03424097208658854,-2.232841129287325
matched,MATCHED_Impulsive,0,CNN_RNND,0.09642918904622395,-1.1392791851569322
matched,MATCHED_Impulsive,0,ML,0.07690811157226561,-1.2832194638253989
matched,MATCHED_Impulsive,0,PNND,0.14145406087239584,-0.8970612877055693
matched,MATCHED_Impulsive,0,Proposed_CA_CNN_RNND,0.0944201151529948,-1.1463535771643851
matched,MATCHED_Impulsive,0,RNND_Zhu,0.09622955322265625,-1.1382190882921195
matched,MATCHED_Impulsive,0,SC,0.07731882731119792,-1.28171597120041
matched,MATCHED_Impulsive,1,CNN_RNND,0.09461466471354166,-1.150041315270819
matched,MATCHED_Impulsive,1,ML,0.07630411783854166,-1.2834804708743313
matched,MATCHED_Impulsive,1,PNND,0.11932754516601561,-0.9967266115070108
matched,MATCHED_Impulsive,1,Proposed_CA_CNN_RNND,0.09063975016276041,-1.167082171826866
matched,MATCHED_Impulsive,1,RNND_Zhu,0.09461593627929688,-1.1402448889335086
matched,MATCHED_Impulsive,1,SC,0.07669194539388022,-1.281808616038368
matched,MATCHED_Impulsive,2,CNN_RNND,0.09699249267578125,-1.1371228391639014
matched,MATCHED_Impulsive,2,ML,0.07626597086588542,-1.2849886547892073
matched,MATCHED_Impulsive,2,PNND,0.13818995157877603,-0.9095506704164659
matched,MATCHED_Impulsive,2,Proposed_CA_CNN_RNND,0.09437179565429686,-1.1372191281752788
matched,MATCHED_Impulsive,2,RNND_Zhu,0.09601084391276044,-1.134146915094964
matched,MATCHED_Impulsive,2,SC,0.07614771525065103,-1.284607095197031
matched,MATCHED_Impulsive,3,CNN_RNND,0.09463119506835938,-1.1463913870676326
matched,MATCHED_Impulsive,3,ML,0.07578023274739581,-1.288419960166557
matched,MATCHED_Impulsive,3,PNND,0.14011764526367188,-0.9009656856924353
matched,MATCHED_Impulsive,3,Proposed_CA_CNN_RNND,0.09224192301432291,-1.1537217660209005
matched,MATCHED_Impulsive,3,RNND_Zhu,0.09620285034179686,-1.129499838510023
matched,MATCHED_Impulsive,3,SC,0.07584889729817709,-1.288681931368894
matched,MATCHED_Impulsive,4,CNN_RNND,0.09647623697916666,-1.144965548556441
matched,MATCHED_Impulsive,4,ML,0.07639058430989584,-1.2943252861696768
matched,MATCHED_Impulsive,4,PNND,0.11977259318033855,-0.9965076727817379
matched,MATCHED_Impulsive,4,Proposed_CA_CNN_RNND,0.08980305989583331,-1.1791101828966015
matched,MATCHED_Impulsive,4,RNND_Zhu,0.09693272908528647,-1.1314063103566074
matched,MATCHED_Impulsive,4,SC,0.07652664184570312,-1.2927657344304595
matched,MATCHED_Rayleigh,0,CNN_RNND,0.16220855712890622,-0.8420404574205718
matched,MATCHED_Rayleigh,0,ML,0.08121617635091145,-1.2707345823420526
matched,MATCHED_Rayleigh,0,PNND,0.20269266764322919,-0.7203799560500663
matched,MATCHED_Rayleigh,0,Proposed_CA_CNN_RNND,0.10475921630859375,-1.0852138209525966
matched,MATCHED_Rayleigh,0,RNND_Zhu,0.16433461507161456,-0.8387636241655767
matched,MATCHED_Rayleigh,0,SC,0.08150100708007814,-1.2688885206612879
matched,MATCHED_Rayleigh,1,CNN_RNND,0.16332626342773438,-0.8390238129009607
matched,MATCHED_Rayleigh,1,ML,0.08162943522135417,-1.2672563174821376
matched,MATCHED_Rayleigh,1,PNND,0.20207087198893228,-0.7223248880620491
matched,MATCHED_Rayleigh,1,Proposed_CA_CNN_RNND,0.10439682006835938,-1.0822926276409108
matched,MATCHED_Rayleigh,1,RNND_Zhu,0.16074625651041669,-0.851517613286513
matched,MATCHED_Rayleigh,1,SC,0.0821075439453125,-1.2656689452836103
matched,MATCHED_Rayleigh,2,CNN_RNND,0.17007954915364581,-0.8146574566325754
matched,MATCHED_Rayleigh,2,ML,0.0819079081217448,-1.261632980033525
matched,MATCHED_Rayleigh,2,PNND,0.18143081665039062,-0.781216997875512
matched,MATCHED_Rayleigh,2,Proposed_CA_CNN_RNND,0.10427220662434897,-1.0878729332267278
matched,MATCHED_Rayleigh,2,RNND_Zhu,0.1618334452311198,-0.8478450865954208
matched,MATCHED_Rayleigh,2,SC,0.0825347900390625,-1.2583532605202505
matched,MATCHED_Rayleigh,3,CNN_RNND,0.16949717203776044,-0.815511485008911
matched,MATCHED_Rayleigh,3,ML,0.08071645100911458,-1.26949090357021
matched,MATCHED_Rayleigh,3,PNND,0.20024490356445312,-0.7254660180485322
matched,MATCHED_Rayleigh,3,Proposed_CA_CNN_RNND,0.10362116495768228,-1.086370008200623
matched,MATCHED_Rayleigh,3,RNND_Zhu,0.16205469767252603,-0.844679762678008
matched,MATCHED_Rayleigh,3,SC,0.08114878336588541,-1.266831163863266
matched,MATCHED_Rayleigh,4,CNN_RNND,0.16260528564453125,-0.8422194724155837
matched,MATCHED_Rayleigh,4,ML,0.08171717325846355,-1.269209127796433
matched,MATCHED_Rayleigh,4,PNND,0.2243194580078125,-0.6643907962387345
matched,MATCHED_Rayleigh,4,Proposed_CA_CNN_RNND,0.10279464721679688,-1.1019824102943687
matched,MATCHED_Rayleigh,4,RNND_Zhu,0.16265741984049478,-0.8438883027670125
matched,MATCHED_Rayleigh,4,SC,0.08204015096028645,-1.2682205979635905
matched,MATCHED_RicianLOS,0,CNN_RNND,0.09679285685221356,-1.1695509100674473
matched,MATCHED_RicianLOS,0,ML,0.049529075622558594,-1.7030384208844946
matched,MATCHED_RicianLOS,0,PNND,0.09580485026041669,-1.1657412331948769
matched,MATCHED_RicianLOS,0,Proposed_CA_CNN_RNND,0.06732050577799478,-1.390617567575787
matched,MATCHED_RicianLOS,0,RNND_Zhu,0.08840052286783855,-1.2218163773110686
matched,MATCHED_RicianLOS,0,SC,0.04985499382019044,-1.7004349366319707
matched,MATCHED_RicianLOS,1,CNN_RNND,0.09388478597005209,-1.1897833495281807
matched,MATCHED_RicianLOS,1,ML,0.05062344868977864,-1.6802073754218922
matched,MATCHED_RicianLOS,1,PNND,0.0951983133951823,-1.1677101055792005
matched,MATCHED_RicianLOS,1,Proposed_CA_CNN_RNND,0.06639989217122395,-1.4135693949121233
matched,MATCHED_RicianLOS,1,RNND_Zhu,0.08623886108398436,-1.2391755050956639
matched,MATCHED_RicianLOS,1,SC,0.05106023152669271,-1.67459126545804
matched,MATCHED_RicianLOS,2,CNN_RNND,0.09315236409505208,-1.207567902666936
matched,MATCHED_RicianLOS,2,ML,0.05047511146182106,-1.6926955395331615
matched,MATCHED_RicianLOS,2,PNND,0.09355545043945312,-1.1848122656794005
matched,MATCHED_RicianLOS,2,Proposed_CA_CNN_RNND,0.06710688273111978,-1.412439490023436
matched,MATCHED_RicianLOS,2,RNND_Zhu,0.08675765991210938,-1.2374280228297656
matched,MATCHED_RicianLOS,2,SC,0.05092755272274925,-1.6927002740908257
matched,MATCHED_RicianLOS,3,CNN_RNND,0.0935503641764323,-1.199902808809112
matched,MATCHED_RicianLOS,3,ML,0.05126957037510015,-1.6796315686234977
matched,MATCHED_RicianLOS,3,PNND,0.09412892659505209,-1.1847313966458128
matched,MATCHED_RicianLOS,3,Proposed_CA_CNN_RNND,0.06809234619140625,-1.3986462470908132
matched,MATCHED_RicianLOS,3,RNND_Zhu,0.08748118082682292,-1.2356806491596486
matched,MATCHED_RicianLOS,3,SC,0.05164018288636819,-1.6779342881836155
matched,MATCHED_RicianLOS,4,CNN_RNND,0.09165191650390625,-1.2107623682843995
matched,MATCHED_RicianLOS,4,ML,0.05112113952636719,-1.67845032254412
matched,MATCHED_RicianLOS,4,PNND,0.09491348266601562,-1.1751134380617865
matched,MATCHED_RicianLOS,4,Proposed_CA_CNN_RNND,0.06708145141601562,-1.4124806279529836
matched,MATCHED_RicianLOS,4,RNND_Zhu,0.0881512959798177,-1.2277716115536408
matched,MATCHED_RicianLOS,4,SC,0.05134080251057943,-1.6757725780843487
mixed,MIXED,0,CNN_RNND,0.10288662609100341,-1.2276989247305599
mixed,MIXED,0,ML,0.0605751429494222,-1.6178363582034951
mixed,MIXED,0,PNND,0.11332808998891883,-1.1643162309138309
mixed,MIXED,0,Proposed_CA_CNN_RNND,0.07922120187796798,-1.3323587327412953
mixed,MIXED,0,RNND_Zhu,0.0990278896247016,-1.2891039985139585
mixed,MIXED,0,SC,0.0608493648423089,-1.6162631701113215
mixed,MIXED,1,CNN_RNND,0.10127872178395589,-1.235942401560058
mixed,MIXED,1,ML,0.06073572176615397,-1.6108286425841505
mixed,MIXED,1,PNND,0.10882364817301433,-1.2155715836882983
mixed,MIXED,1,Proposed_CA_CNN_RNND,0.07807042418162029,-1.3584975632509224
mixed,MIXED,1,RNND_Zhu,0.09844489729139541,-1.2938311102209876
mixed,MIXED,1,SC,0.061033241402762284,-1.6077409883428615
mixed,MIXED,2,CNN_RNND,0.1007727151828342,-1.243145119442249
mixed,MIXED,2,ML,0.06064706633794875,-1.633159845722637
mixed,MIXED,2,PNND,0.11589117958432152,-1.1334845026903295
mixed,MIXED,2,Proposed_CA_CNN_RNND,0.07801208503723145,-1.3638940502474675
mixed,MIXED,2,RNND_Zhu,0.09675855013529458,-1.3184084480694822
mixed,MIXED,2,SC,0.06092865911574591,-1.6315451720060923
mixed,MIXED,3,CNN_RNND,0.10367955996360614,-1.2075704145956394
mixed,MIXED,3,ML,0.06061111801017044,-1.6119804339185304
mixed,MIXED,3,PNND,0.10764945688883462,-1.2251461254746312
mixed,MIXED,3,Proposed_CA_CNN_RNND,0.08273638089497884,-1.2950435710805355
mixed,MIXED,3,RNND_Zhu,0.0974127106221517,-1.3012302197151255
mixed,MIXED,3,SC,0.060925993868835966,-1.61026773369528
mixed,MIXED,4,CNN_RNND,0.10193433246612549,-1.2303846312852467
mixed,MIXED,4,ML,0.06081646835327149,-1.619681308588063
mixed,MIXED,4,PNND,0.11034357211158388,-1.1834448870945768
mixed,MIXED,4,Proposed_CA_CNN_RNND,0.0795058806737264,-1.3232315589827754
mixed,MIXED,4,RNND_Zhu,0.0968894565545945,-1.3123361841365262
mixed,MIXED,4,SC,0.06103714185078939,-1.6174000099414307
unseen,UNSEEN_Impulsive,0,CNN_RNND,0.10480117797851562,-1.0743916377344083
unseen,UNSEEN_Impulsive,0,ML,0.07690811157226561,-1.2832194638253989
unseen,UNSEEN_Impulsive,0,PNND,0.12929280598958334,-0.9481150317225184
unseen,UNSEEN_Impulsive,0,Proposed_CA_CNN_RNND,0.10648345947265625,-1.0740215923696508
unseen,UNSEEN_Impulsive,0,RNND_Zhu,0.10397593180338542,-1.0716348399616262
unseen,UNSEEN_Impulsive,0,SC,0.07731882731119792,-1.28171597120041
unseen,UNSEEN_Impulsive,1,CNN_RNND,0.10074869791666666,-1.1021321081841844
unseen,UNSEEN_Impulsive,1,ML,0.07630411783854166,-1.2834804708743313
unseen,UNSEEN_Impulsive,1,PNND,0.11992645263671875,-0.992046445512567
unseen,UNSEEN_Impulsive,1,Proposed_CA_CNN_RNND,0.10483932495117188,-1.0812330694696723
unseen,UNSEEN_Impulsive,1,RNND_Zhu,0.10434850056966147,-1.0716115775755373
unseen,UNSEEN_Impulsive,1,SC,0.07669194539388022,-1.281808616038368
unseen,UNSEEN_Impulsive,2,CNN_RNND,0.09996032714843749,-1.1068654560160474
unseen,UNSEEN_Impulsive,2,ML,0.07626597086588542,-1.2849886547892073
unseen,UNSEEN_Impulsive,2,PNND,0.11965942382812499,-0.9905155366953917
unseen,UNSEEN_Impulsive,2,Proposed_CA_CNN_RNND,0.1029218037923177,-1.0963033187902407
unseen,UNSEEN_Impulsive,2,RNND_Zhu,0.102447509765625,-1.0798225805198742
unseen,UNSEEN_Impulsive,2,SC,0.07614771525065103,-1.284607095197031
unseen,UNSEEN_Impulsive,3,CNN_RNND,0.09894307454427083,-1.117508341424475
unseen,UNSEEN_Impulsive,3,ML,0.07578023274739581,-1.288419960166557
unseen,UNSEEN_Impulsive,3,PNND,0.11919403076171874,-0.9952971395007159
unseen,UNSEEN_Impulsive,3,Proposed_CA_CNN_RNND,0.10105641682942709,-1.106458283140325
unseen,UNSEEN_Impulsive,3,RNND_Zhu,0.10242462158203125,-1.0788723441596684
unseen,UNSEEN_Impulsive,3,SC,0.07584889729817709,-1.288681931368894
unseen,UNSEEN_Impulsive,4,CNN_RNND,0.1017303466796875,-1.100835117825956
unseen,UNSEEN_Impulsive,4,ML,0.07639058430989584,-1.2943252861696768
unseen,UNSEEN_Impulsive,4,PNND,0.12292861938476562,-0.9836110122892603
unseen,UNSEEN_Impulsive,4,Proposed_CA_CNN_RNND,0.10518391927083333,-1.0780567699358692
unseen,UNSEEN_Impulsive,4,RNND_Zhu,0.10564931233723959,-1.0661252761487525
unseen,UNSEEN_Impulsive,4,SC,0.07652664184570312,-1.2927657344304595
