regime,job_tag,holdout,channel,snr_db,method,repeats,BER_mean,BER_std,BLER_mean,BLER_std,SER_no_denoise_mean,SER_no_denoise_std,SER_after_mean,SER_after_std,SNR_before_dB_mean,SNR_before_dB_std,SNR_after_dB_mean,SNR_after_dB_std,SNR_gain_dB_mean,SNR_gain_dB_std,us_per_frame_mean,us_per_frame_std
matched,MATCHED_AWGN,,AWGN,0.0,CNN_RNND,5,0.16056722005208332,0.0006001186879308168,0.499267578125,0.005436660838261442,0.158453369140625,0.0005206331225869891,0.15849711100260416,0.0004730142572163262,0.0025090236266112433,0.007339021756389102,3.277743583168232,0.030122862394896293,3.2752345595416203,0.02849545119843682,0.806712402360669,0.020993481349018663
matched,MATCHED_AWGN,,AWGN,0.0,ML,5,0.12483927408854165,0.0011434797115271907,0.2968587239583333,0.0024518278003386753,,0.0,,0.0,,0.0,,0.0,,0.0,0.5884844730038215,0.12772503845775043
matched,MATCHED_AWGN,,AWGN,0.0,PNND,5,0.139886474609375,0.004440366461306766,0.4260579427083334,0.017756333464407265,0.158453369140625,0.0005206331225869891,,0.0,0.0025090236266112433,0.007339021756389102,,0.0,,0.0,0.6207158018393482,0.024269888470995735
matched,MATCHED_AWGN,,AWGN,0.0,Proposed_CA_CNN_RNND,5,0.15006510416666669,0.0034858086795924496,0.47607421875,0.013248113045994351,0.158453369140625,0.0005206331225869891,0.15858357747395832,0.0004570906601390783,0.0025090236266112433,0.007339021756389102,3.4552455502827124,0.009184850526084068,3.452736526656101,0.011972052333993186,0.8235359359787253,0.046292293146467586
matched,MATCHED_AWGN,,AWGN,0.0,RNND_Zhu,5,0.1377685546875,0.002034090635658244,0.38935546875,0.005353989000749544,0.158453369140625,0.0005206331225869891,0.09246724446614582,0.001035260079332893,0.0025090236266112433,0.007339021756389102,5.325294545756194,0.0727744184851918,5.322785522129584,0.07915766693433691,0.8149254218399923,0.030826436628680235
matched,MATCHED_AWGN,,AWGN,0.0,SC,5,0.12519938151041665,0.0017239295576753854,0.29902343749999993,0.002529733588223167,,0.0,,0.0,,0.0,,0.0,,0.0,1.7543641263273457,0.030902467272407894
matched,MATCHED_AWGN,,AWGN,1.0,CNN_RNND,5,0.1109375,0.0019474822229684798,0.3736490885416667,0.006353548363792372,0.13069254557291665,0.0009640877052844136,0.13075358072916665,0.0008181566717221236,1.0035628242523142,0.01332476353169603,4.1600776024365,0.01966871584697238,3.1565147781841874,0.026474285736251883,0.7688195807986631,0.03199520180196066
matched,MATCHED_AWGN,,AWGN,1.0,ML,5,0.07813517252604166,0.0019553357434240605,0.187255859375,0.005158503903561361,,0.0,,0.0,,0.0,,0.0,,0.0,0.5718721846884971,0.07064200202246523
matched,MATCHED_AWGN,,AWGN,1.0,PNND,5,0.09390462239583333,0.00392450860283943,0.3070475260416667,0.017348974012025942,0.13069254557291665,0.0009640877052844136,,0.0,1.0035628242523142,0.01332476353169603,,0.0,,0.0,0.5728447244261284,0.0436709822435275
matched,MATCHED_AWGN,,AWGN,1.0,Proposed_CA_CNN_RNND,5,0.103289794921875,0.0032054790127557633,0.351025390625,0.013490300693363978,0.13069254557291665,0.0009640877052844136,0.13069661458333331,0.0009257138429362614,1.0035628242523142,0.01332476353169603,4.231159196132511,0.023890210082456436,3.227596371880197,0.01893833375018241,0.7776049282407864,0.02265210642331994
