repeat,seed,regime,job_tag,holdout,method,train_channels,parameters,selected_epoch,best_validation_log10_BER,training_seconds
1,260817,unseen,UNSEEN_Impulsive,Impulsive,Proposed_CA_CNN_RNND,AWGN|Rayleigh|RicianLOS,27417,7800,-1.2820244538306114,66.91106990096159
2,260818,mixed,MIXED,,PNND,AWGN|Rayleigh|RicianLOS|Impulsive,24904,7200,-1.0425254583770578,47.34180022694636
2,260818,mixed,MIXED,,RNND_Zhu,AWGN|Rayleigh|RicianLOS|Impulsive,25816,8000,-1.175395751373693,77.79092301498167
2,260818,mixed,MIXED,,CNN_RNND,AWGN|Rayleigh|RicianLOS|Impulsive,27033,8000,-1.1309049752206441,67.37805151892826
2,260818,mixed,MIXED,,Proposed_CA_CNN_RNND,AWGN|Rayleigh|RicianLOS|Impulsive,27417,8000,-1.2396916475993573,68.08909228094853
2,260818,matched,MATCHED_AWGN,,PNND,AWGN,24904,8000,-1.7920783191498777,45.78184625401627
2,260818,matched,MATCHED_AWGN,,RNND_Zhu,AWGN,25816,7800,-1.7835183156396286,76.07279222505167
2,260818,matched,MATCHED_AWGN,,CNN_RNND,AWGN,27033,7400,-1.5712710580995313,65.34235455899034
2,260818,matched,MATCHED_AWGN,,Proposed_CA_CNN_RNND,AWGN,27417,7800,-1.568051654757964,65.49422880390193
2,260818,matched,MATCHED_Rayleigh,,PNND,Rayleigh,24904,7800,-0.737519954824112,45.98197292396799
2,260818,matched,MATCHED_Rayleigh,,RNND_Zhu,Rayleigh,25816,7800,-0.7871964510061025,74.9583487380296
2,260818,matched,MATCHED_Rayleigh,,CNN_RNND,Rayleigh,27033,7800,-0.7672355964857924,63.15401544806082
2,260818,matched,MATCHED_Rayleigh,,Proposed_CA_CNN_RNND,Rayleigh,27417,7800,-1.0178279815072364,65.44768891495187
2,260818,matched,MATCHED_RicianLOS,,PNND,RicianLOS,24904,7600,-1.098463016588239,44.48887162900064
