repeat,regime,job_tag,method,selected_epoch,best_validation_log10_BER
3,matched,MATCHED_Rayleigh,CNN_RNND,8000,-0.7537986325312527
3,matched,MATCHED_Rayleigh,Proposed_CA_CNN_RNND,7800,-0.9914427566007983
3,matched,MATCHED_RicianLOS,PNND,7600,-1.099066288205423
3,matched,MATCHED_RicianLOS,RNND_Zhu,7800,-1.1540154092137698
3,matched,MATCHED_RicianLOS,CNN_RNND,7800,-1.1252270768609896
3,matched,MATCHED_RicianLOS,Proposed_CA_CNN_RNND,7800,-1.2637217289150744
3,matched,MATCHED_Impulsive,PNND,6800,-0.8549346534820168
3,matched,MATCHED_Impulsive,RNND_Zhu,8000,-1.0604768589383484
3,matched,MATCHED_Impulsive,CNN_RNND,7800,-1.0736064481617213
3,matched,MATCHED_Impulsive,Proposed_CA_CNN_RNND,8000,-1.0859084828411376
3,unseen,UNSEEN_Impulsive,PNND,8000,-1.1600801262268814
3,unseen,UNSEEN_Impulsive,RNND_Zhu,7200,-1.2624563992009092
3,unseen,UNSEEN_Impulsive,CNN_RNND,8000,-1.1701677087102411
3,unseen,UNSEEN_Impulsive,Proposed_CA_CNN_RNND,7800,-1.3239101507735902
4,mixed,MIXED,PNND,8000,-1.0919365315335159
4,mixed,MIXED,RNND_Zhu,7600,-1.2180156322509124
4,mixed,MIXED,CNN_RNND,8000,-1.1245363772353771
4,mixed,MIXED,Proposed_CA_CNN_RNND,8000,-1.2288692985249285
4,matched,MATCHED_AWGN,PNND,6600,-1.7680656637803494
4,matched,MATCHED_AWGN,RNND_Zhu,7800,-1.8444209395023505
4,matched,MATCHED_AWGN,CNN_RNND,7800,-1.6433401773402836
4,matched,MATCHED_AWGN,Proposed_CA_CNN_RNND,7800,-1.5903249565627455
4,matched,MATCHED_Rayleigh,PNND,7600,-0.6453730979316474
4,matched,MATCHED_Rayleigh,RNND_Zhu,7600,-0.8076626350551948
4,matched,MATCHED_Rayleigh,CNN_RNND,8000,-0.8028476734543799
4,matched,MATCHED_Rayleigh,Proposed_CA_CNN_RNND,7800,-1.0362235804307316
4,matched,MATCHED_RicianLOS,PNND,7800,-1.0934355544311698
4,matched,MATCHED_RicianLOS,RNND_Zhu,7600,-1.1448747382541469
4,matched,MATCHED_RicianLOS,CNN_RNND,8000,-1.1001675230685297
4,matched,MATCHED_RicianLOS,Proposed_CA_CNN_RNND,8000,-1.273395433168648
4,matched,MATCHED_Impulsive,PNND,8000,-0.9325927852998839
4,matched,MATCHED_Impulsive,RNND_Zhu,7000,-1.0529002726595826
4,matched,MATCHED_Impulsive,CNN_RNND,8000,-1.0565792077935006
4,matched,MATCHED_Impulsive,Proposed_CA_CNN_RNND,8000,-1.0902053118758346
4,unseen,UNSEEN_Impulsive,PNND,6600,-1.1874725579198104
4,unseen,UNSEEN_Impulsive,RNND_Zhu,7400,-1.2587553913522964
4,unseen,UNSEEN_Impulsive,CNN_RNND,7600,-1.1606209671094836
4,unseen,UNSEEN_Impulsive,Proposed_CA_CNN_RNND,7600,-1.2961630728384816
