,bacterial_spot,cercospora_leaf_spot,curl_virus,healthy,nutrient_deficiency
bacterial_spot,27,0,0,0,0
cercospora_leaf_spot,2,34,0,0,0
curl_virus,0,0,73,0,0
healthy,0,0,0,94,0
nutrient_deficiency,0,0,0,0,99
