model,fold,best_epoch,best_val_f1,test_loss,n_train_original,n_train_balanced,n_validation,n_test,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,specificity_macro,mcc,auc_ovr_macro
ChiliLiteV2_MNV3S_MultiLevel_ColorGate,1,2,1.0,0.4088808672372685,1387,2050,155,172,0.9883720930232558,0.9878787878787879,0.9904761904761905,0.9878787878787879,0.9888719512195122,0.9969696969696968,0.9854405120034545,1.0
ChiliLiteV2_MNV3S_MultiLevel_ColorGate,2,3,1.0,0.39487904379534167,1387,2050,155,172,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ChiliLiteV2_MNV3S_MultiLevel_ColorGate,3,2,1.0,0.42542489115581955,1387,2050,155,172,0.9767441860465116,0.9789473684210526,0.9666666666666668,0.9789473684210526,0.9707070707070707,0.9947368421052631,0.9713167000074935,1.0
ChiliLiteV2_MNV3S_MultiLevel_ColorGate,4,3,1.0,0.40678743844808535,1387,2050,155,172,0.9941860465116279,0.9939393939393939,0.9951219512195122,0.9939393939393939,0.9944539411206078,0.9984848484848484,0.9926804793990197,1.0
ChiliLiteV2_MNV3S_MultiLevel_ColorGate,5,5,1.0,0.4124212901146091,1388,2050,155,171,0.9824561403508771,0.9824733824733825,0.9799498746867169,0.9824733824733825,0.9808719512195122,0.9956904220618761,0.977929754273818,0.9999193223073821
ChiliLiteV2_MNV3S_MultiLevel_ColorGate,6,2,1.0,0.41007543429296617,1388,2050,155,171,0.9941520467836257,0.99375,0.9948717948717949,0.99375,0.9942279942279942,0.9984962406015038,0.9926359563993855,0.9997859626821693
ChiliLiteV2_MNV3S_MultiLevel_ColorGate,7,2,1.0,0.4114371168683147,1388,2050,155,171,0.9941520467836257,0.99375,0.9948717948717949,0.99375,0.9942279942279942,0.9984962406015038,0.9926359563993855,0.9999604273842501
ChiliLiteV2_MNV3S_MultiLevel_ColorGate,8,6,1.0,0.3930883494734067,1388,2050,155,171,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ChiliLiteV2_MNV3S_MultiLevel_ColorGate,9,8,1.0,0.3932027548377277,1388,2050,155,171,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ChiliLiteV2_MNV3S_MultiLevel_ColorGate,10,8,1.0,0.394569556615506,1388,2050,155,171,0.9941520467836257,0.9947368421052631,0.9941176470588236,0.9947368421052631,0.9943482587064676,0.9985507246376812,0.9926438919785384,1.0
