,bacterial_spot,cercospora_leaf_spot,curl_virus,healthy,nutrient_deficiency
bacterial_spot,1217,21,1,35,6
cercospora_leaf_spot,1011,207,1,451,13
curl_virus,346,26,6,1170,34
healthy,178,0,0,1299,4
nutrient_deficiency,667,12,0,68,320
