model,fold,epoch,learning_rate,train_loss,val_loss,train_accuracy,val_accuracy,train_f1_macro,val_f1_macro
ChiliLiteV2_MNV3S_MultiLevel_ColorGate,8,1,0.0003,0.7579871120685484,0.4541644496302451,0.8302439024390244,0.9741935483870968,0.8309447611174667,0.9734525700334347
ChiliLiteV2_MNV3S_MultiLevel_ColorGate,8,2,0.0002996346075389736,0.4379741241292256,0.4387400073389853,0.9892682926829268,0.967741935483871,0.9892287834235672,0.9662243732666267
ChiliLiteV2_MNV3S_MultiLevel_ColorGate,8,3,0.0002985402103112355,0.42677988913001086,0.4198322451883747,0.9858536585365854,0.9935483870967742,0.9858601486012887,0.9916095199677288
ChiliLiteV2_MNV3S_MultiLevel_ColorGate,8,4,0.0002967221401100708,0.43323433021219765,0.40475310587113905,0.9848780487804878,0.9935483870967742,0.9848909329429306,0.9937362368485442
ChiliLiteV2_MNV3S_MultiLevel_ColorGate,8,5,0.00029418925439074776,0.4006632726948436,0.40590213114215484,0.9980487804878049,0.9935483870967742,0.9980493739217484,0.9937362368485442
ChiliLiteV2_MNV3S_MultiLevel_ColorGate,8,6,0.0002909538931178862,0.40943683659158103,0.3925233967842594,0.9931707317073171,1.0,0.9931652804222402,1.0
ChiliLiteV2_MNV3S_MultiLevel_ColorGate,8,7,0.0002870318186463901,0.40417818697487434,0.3973161045582064,0.9990243902439024,0.9935483870967742,0.999023791726352,0.9937362368485442
ChiliLiteV2_MNV3S_MultiLevel_ColorGate,8,8,0.000282442138928839,0.41026876158830594,0.3940561056137085,0.9946341463414634,1.0,0.9946335500056425,1.0
ChiliLiteV2_MNV3S_MultiLevel_ColorGate,8,9,0.0002772072144234638,0.4071069410952126,0.4066197635666017,0.9965853658536585,0.9935483870967742,0.9965847680668988,0.9937362368485442
ChiliLiteV2_MNV3S_MultiLevel_ColorGate,8,10,0.00027135254915624206,0.39784312864629234,0.4030285141160411,0.9990243902439024,0.9935483870967742,0.9990243895184332,0.9937362368485442
ChiliLiteV2_MNV3S_MultiLevel_ColorGate,8,11,0.0002649066664678466,0.4029758703999403,0.39773697910770295,0.9975609756097561,0.9935483870967742,0.9975585684009994,0.9937362368485442
ChiliLiteV2_MNV3S_MultiLevel_ColorGate,8,12,0.0002579009700507976,0.40638602599865054,0.40065934004322173,0.9965853658536585,0.9935483870967742,0.9965918373937933,0.9937362368485442
ChiliLiteV2_MNV3S_MultiLevel_ColorGate,8,13,0.00025036959095382864,0.3978180919042448,0.39177421773633647,0.9985365853658537,1.0,0.9985365846403843,1.0
