,bacterial_spot,cercospora_leaf_spot,curl_virus,healthy,nutrient_deficiency
bacterial_spot,25,1,0,0,0
cercospora_leaf_spot,0,35,0,0,0
curl_virus,0,0,87,0,0
healthy,0,0,0,89,0
nutrient_deficiency,0,0,0,0,93
