,cercospora_leaf_spot,healthy,nutrient_deficiency,powdery_mildew
cercospora_leaf_spot,159,12,9,1
healthy,6,53,7,2
nutrient_deficiency,12,4,47,0
powdery_mildew,0,0,0,20
