,cercospora_leaf_spot,healthy,nutrient_deficiency,powdery_mildew
cercospora_leaf_spot,151,16,8,0
healthy,9,62,0,0
nutrient_deficiency,8,4,40,0
powdery_mildew,2,0,0,31
