class_index,class_name,support,precision,recall_sensitivity,specificity,f1,auc_ovr,tp,fp,fn,tn
0,bacterial_spot,231,0.9912280701754386,0.9783549783549783,0.9985261606484893,0.9847494553376906,0.9981959823522093,226,2,5,1355
1,cercospora_leaf_spot,333,0.9906832298136646,0.9579579579579579,0.9976095617529881,0.9740458015267176,0.995561298350143,319,3,14,1252
2,curl_virus,328,0.95,0.9847560975609756,0.9865079365079366,0.9670658682634731,0.9978150406504065,323,17,5,1243
3,healthy,307,0.9806451612903225,0.990228013029316,0.9953161592505855,0.9854132901134521,0.9990782343802049,304,6,3,1275
4,nutrient_deficiency,201,0.975,0.9701492537313433,0.996395097332372,0.972568578553616,0.9992718455308174,195,5,6,1382
5,powdery_mildew,188,1.0,1.0,1.0,1.0,1.0,188,0,0,1400
