,cercospora_leaf_spot,healthy,nutrient_deficiency,powdery_mildew
cercospora_leaf_spot,1169,383,77,54
healthy,367,706,340,68
nutrient_deficiency,207,5,852,3
powdery_mildew,284,44,56,459
