model,fold,epoch,learning_rate,train_loss,val_loss,train_accuracy,val_accuracy,train_f1_macro,val_f1_macro
MobileNetV3_Small,2,1,0.0003,0.6668298080490856,0.5218264145235861,0.8941463414634147,0.9419354838709677,0.8942280714311422,0.9434586951444766
MobileNetV3_Small,2,2,0.0002996346075389736,0.4405387925520176,0.4548200676518102,0.9917073170731707,0.9870967741935484,0.9916977056921615,0.9876178812002451
MobileNetV3_Small,2,3,0.0002985402103112355,0.43743612801156395,0.41274254898871143,0.9921951219512195,1.0,0.9921926901348848,1.0
MobileNetV3_Small,2,4,0.0002967221401100708,0.42032595239034515,0.41169796701400513,0.9980487804878049,1.0,0.998048774684024,1.0
MobileNetV3_Small,2,5,0.00029418925439074776,0.4150094020657423,0.40412781873056963,0.9960975609756098,1.0,0.9960969566702165,1.0
MobileNetV3_Small,2,6,0.0002909538931178862,0.41502627712924306,0.4064498120738614,0.9980487804878049,1.0,0.9980487783113968,1.0
MobileNetV3_Small,2,7,0.0002870318186463901,0.40653601250997407,0.40217910428201,0.9985365853658537,1.0,0.9985365831894455,1.0
MobileNetV3_Small,2,8,0.000282442138928839,0.40316886907670557,0.4031907114290422,1.0,0.9935483870967742,1.0,0.9937362368485442
MobileNetV3_Small,2,9,0.0002772072144234638,0.4038096745421247,0.4195849332117265,0.9990243902439024,0.9806451612903225,0.9990243895184332,0.9815986830071337
MobileNetV3_Small,2,10,0.00027135254915624206,0.4055913982740263,0.40688212956151654,1.0,0.9870967741935484,1.0,0.9874877810361682
