,cercospora_leaf_spot,healthy,nutrient_deficiency,powdery_mildew
cercospora_leaf_spot,164,16,5,6
healthy,13,55,0,0
nutrient_deficiency,14,4,24,0
powdery_mildew,0,0,0,30
