,cercospora_leaf_spot,healthy,nutrient_deficiency,powdery_mildew
cercospora_leaf_spot,126,18,13,4
healthy,12,49,5,0
nutrient_deficiency,19,11,30,0
powdery_mildew,1,3,0,40
