,cercospora_leaf_spot,healthy,nutrient_deficiency,powdery_mildew
cercospora_leaf_spot,171,12,8,0
healthy,6,49,1,0
nutrient_deficiency,10,6,34,0
powdery_mildew,0,1,0,34
