,bacterial_spot,cercospora_leaf_spot,curl_virus,healthy,nutrient_deficiency,powdery_mildew
bacterial_spot,249,1,0,4,0,0
cercospora_leaf_spot,0,338,4,6,3,0
curl_virus,1,2,316,2,1,0
healthy,0,1,0,303,1,0
nutrient_deficiency,0,0,0,2,212,0
powdery_mildew,0,0,0,0,0,141
