Model,Fold,Epoch,train_loss,train_acc,val_loss,val_acc
Proposed_Attn,1,1,0.802765346716105,0.7131754256106587,0.3804390931114454,0.8691275167785235
Proposed_Attn,1,2,0.3386212200709487,0.8854552183567728,0.19400803490241852,0.9437919463087249
Proposed_Attn,1,3,0.24609003340112642,0.9191339748334567,0.1418900205425593,0.9572147651006712
Proposed_Attn,1,4,0.19351119811692827,0.9352331606217616,0.08400098228867747,0.9723154362416108
Proposed_Attn,1,5,0.1655617652172781,0.945780903034789,0.08094461086235828,0.9748322147651006
Proposed_Attn,1,6,0.14371586748041063,0.9492042931162102,0.14390039638379407,0.9488255033557047
Proposed_Attn,1,7,0.1293289104185662,0.9556809770540341,0.07255136110867146,0.9807046979865772
Proposed_Attn,1,8,0.11031744329136094,0.9597520355292376,0.07886776448247584,0.9739932885906041
Proposed_Attn,1,9,0.10962892069221425,0.9631754256106587,0.06895961747366088,0.9723154362416108
Proposed_Attn,1,10,0.10544278754885111,0.9628053293856402,0.07537750529020637,0.9765100671140939
Proposed_Attn,1,11,0.0842381685752998,0.9723353071798667,0.09053180587162332,0.9773489932885906
Proposed_Attn,1,12,0.08561212074791917,0.9712250185048112,0.09171186839996043,0.9714765100671141
Proposed_Attn,1,13,0.08027235512689947,0.9718726868985936,0.02635421129750266,0.9941275167785235
Proposed_Attn,1,14,0.07977922957908944,0.9733530717986677,0.024344697375607016,0.988255033557047
Proposed_Attn,1,15,0.07430425654823783,0.9728904515173945,0.04565585518456822,0.988255033557047
Proposed_Attn,1,16,0.07066233648534596,0.9753886010362695,0.03904318958978933,0.9848993288590604
Proposed_Attn,1,17,0.06442562568530187,0.9788119911176906,0.03670629914018877,0.9798657718120806
Proposed_Attn,1,18,0.06362755304171158,0.9768689859363434,0.03409553659647577,0.9874161073825504
Proposed_Attn,1,19,0.05755871486092479,0.9798297557364914,0.03695698020777207,0.9890939597315436
Proposed_Attn,1,20,0.06069186767015184,0.9778867505551443,0.07222628683147478,0.9773489932885906
Proposed_Attn,2,1,0.8221397742751101,0.7003909158600149,0.2843151047208886,0.9052547770700637
Proposed_Attn,2,2,0.33764645531607135,0.8856105733432613,0.175801656477355,0.9315286624203821
Proposed_Attn,2,3,0.22265314560991034,0.9273082650781832,0.1789300315828021,0.9331210191082803
