Model,Display,Params_M,FLOPs_G,Infer_ms,OOF_Accuracy,TrainTime_mean_s,Accuracy_mean,Accuracy_std,Recall_mean,Recall_std,TNR_mean,TNR_std,F1_mean,F1_std,MCC_mean,MCC_std
Proposed_Attn,Proposed Model,2.292294,1.431463168,3.121809959411621,0.9745,840.8384077548981,0.974418894462137,0.01006288125427191,0.9750297114709225,0.007495369014323399,0.9949227182478063,0.0019270025082493163,0.9738954585236221,0.009914398941391048,0.9697491248251395,0.011390825766388666
MCCM_only,MCCM,1.048262,0.530292736,1.5467607975006104,0.976,830.0730522632599,0.9758939199127475,0.013064251223302485,0.9763730301681781,0.012971413725418796,0.9951665194791828,0.002638785992262574,0.9756048542519151,0.013211176075594199,0.9713634032214239,0.01551107350897664
RNDDNet_only,RNDDNet,0.949958,0.900877056,1.7085564136505127,0.9730833333333333,832.8509047269821,0.9729491616698424,0.01417540948046699,0.972755593358921,0.014940608061117789,0.9945758642477338,0.002854857820895614,0.972388760793225,0.015213485048654492,0.9677968372393897,0.0169425885121846
Concat_noAttn,MCCM+RNDDNet (concat),1.996422,1.431168256,3.0967044830322266,0.977,816.3007667779923,0.9766977451972076,0.019584660141543506,0.9766104940942568,0.019241961404360332,0.9953559476453296,0.003840937985681886,0.9758042593800387,0.0211939630886047,0.9723981432832556,0.02294939763756818
VGG_EffAttnNet,VGG-EffAttnNet,15.438534,15.37569024,2.1554791927337646,0.97075,1076.4818422317505,0.9707631745837493,0.011499123063247503,0.9694872108322597,0.010819855396890458,0.9940922859475279,0.002316602047508147,0.9701104188002567,0.011294714413068252,0.9652487196995707,0.013463432056027565
MobileNetV2,MobileNetV2,2.231558,0.3262144,3.222527503967285,0.9646666666666667,826.0653236865998,0.964611330616035,0.011082472086289355,0.9646373470824718,0.011634433984897628,0.9929167738125484,0.0022548894045285955,0.9639975815143099,0.011423704603274697,0.9576265125234686,0.013340522796388041
GSAtt_CMNetV3,GSAtt-CMNetV3,5.362919,0.290014136,4.061704874038696,0.9661666666666666,835.2086028814316,0.9658278654688198,0.019220547223151585,0.9656282713319989,0.021476896464010065,0.9931324796998116,0.003886429603463893,0.9653762213322775,0.020635444462692856,0.9590838639589772,0.022973464760127387
