Model,Fold,Accuracy,Recall,TNR,F1,MCC,TrainTime_s
Proposed_Attn,1,0.9773489932885906,0.9742857142857142,0.9955150785807644,0.9744942175923862,0.9732178866415889,826.3601965904236
Proposed_Attn,2,0.982484076433121,0.9848269186343738,0.9965163752683776,0.9833572410735997,0.9790419793092692,848.1184184551239
Proposed_Attn,3,0.9523012552301255,0.9606608142976306,0.9907329042367126,0.9537397792289384,0.9451082358098408,861.161013841629
Proposed_Attn,4,0.9797077922077922,0.9787154113982042,0.9960155370314873,0.9780952446145106,0.9756588145965052,844.2112085819244
Proposed_Attn,5,0.9762308998302207,0.9757518927018141,0.9952350476172721,0.9759206925087708,0.9714457002787419,830.479918718338
Proposed_Attn,6,0.9797077922077922,0.9796799822730823,0.9958948457118529,0.9800265703789939,0.9757147783554916,828.1165096759796
Proposed_Attn,7,0.970467596390484,0.9705139794488683,0.9937182388333493,0.9737913798388713,0.9646334014117143,834.4331090450287
Proposed_Attn,8,0.974267968056788,0.9714858571521342,0.9948755555711054,0.9723427920271067,0.96951781766407,847.6479799747467
Proposed_Attn,9,0.9874476987447699,0.9850819579397254,0.9974712379537273,0.9863719887565892,0.9849161470119424,862.9395110607147
Proposed_Attn,10,0.9642248722316865,0.9692945865776789,0.9932523616734144,0.960814679216455,0.9582364871722326,824.916211605072
MCCM_only,1,0.9958053691275168,0.9952380952380953,0.9991565452091767,0.9955667848077575,0.9949785538242567,830.7217631340027
MCCM_only,2,0.9792993630573248,0.982553444685282,0.9958863168696722,0.9803626280796549,0.9754052649889334,830.2294340133667
MCCM_only,3,0.9732217573221758,0.977329936864018,0.9947377125283373,0.9737602957898083,0.968294476302569,832.2710497379303
MCCM_only,4,0.976461038961039,0.975472982746897,0.9953566475808019,0.9749858287141655,0.971762004940329,828.878223657608
MCCM_only,5,0.9567062818336163,0.955650565461411,0.9913666054768048,0.9548430107946838,0.9482729460565412,827.7094352245331
MCCM_only,6,0.9983766233766234,0.998267619252256,0.9996824357000341,0.9982082912406508,0.9980458535300237,824.5061893463135
MCCM_only,7,0.9663658736669402,0.9693420378904248,0.9929124050064876,0.9699187409176077,0.9602393216414226,828.7549915313721
MCCM_only,8,0.976929902395741,0.974540682928868,0.9954242749731471,0.975063012820136,0.9726689333608199,831.4148833751678
MCCM_only,9,0.9715481171548117,0.9660327406975614,0.9942564751787367,0.969084178210201,0.9661790656662351,832.8284432888031
MCCM_only,10,0.9642248722316865,0.969302195916967,0.9928857762686286,0.9642557711444845,0.9577876119031081,833.4161093235016
RNDDNet_only,1,0.9832214765100671,0.9811216226302433,0.9966261808367071,0.9825015130970948,0.9800697682028711,834.6757595539093
RNDDNet_only,2,0.9673566878980892,0.9725126439712696,0.993465636668506,0.9698417080753319,0.9615844624132036,832.0236854553223
RNDDNet_only,3,0.9799163179916318,0.9832017979041879,0.9960736816643202,0.9802413783523541,0.976166717032726,831.3875205516815
RNDDNet_only,4,0.9797077922077922,0.9786623995392549,0.9960045227023974,0.9782121889517916,0.975639385177654,831.9289844036102
RNDDNet_only,5,0.9745331069609507,0.9745973311871685,0.994906168957994,0.9744628860708758,0.9694119496621173,833.2111208438873
RNDDNet_only,6,0.9910714285714286,0.991968216595366,0.9982263680185265,0.9913165677732093,0.9892753553072059,832.7890348434448
RNDDNet_only,7,0.963084495488105,0.9659150410490142,0.9921678267548147,0.9675923390036857,0.9563019638178438,832.5300071239471
RNDDNet_only,8,0.9627329192546584,0.9586197619511472,0.9926023216875756,0.9593163806375676,0.9562279378852896,831.7547345161438
