,bacterial_spot,cercospora_leaf_spot,curl_virus,healthy,nutrient_deficiency,powdery_mildew
bacterial_spot,281,2,1,0,0,0
cercospora_leaf_spot,3,558,4,7,2,5
curl_virus,5,2,377,2,2,0
healthy,0,17,2,431,3,3
nutrient_deficiency,0,29,1,8,302,0
powdery_mildew,0,2,0,1,0,198
