class_index,class_name,support,precision,recall_sensitivity,specificity,f1,auc_ovr,tp,fp,fn,tn
0,bacterial_spot,259,0.9773584905660377,1.0,0.9954819277108434,0.9885496183206107,0.9993167651300181,259,6,0,1322
1,cercospora_leaf_spot,326,0.984472049689441,0.9723926380368099,0.9960348929421095,0.9783950617283951,0.9996570060765874,317,5,9,1256
2,curl_virus,328,0.9783950617283951,0.9664634146341463,0.9944400317712471,0.9723926380368099,0.9963651949863425,317,7,11,1252
3,healthy,286,0.9790209790209791,0.9790209790209791,0.9953881629515757,0.9790209790209791,0.9962065221481056,280,6,6,1295
4,nutrient_deficiency,214,0.9812206572769953,0.9766355140186916,0.9970866715222141,0.9789227166276346,0.9997906896011871,209,4,5,1369
5,powdery_mildew,174,0.9830508474576272,1.0,0.9978768577494692,0.9914529914529915,1.0,174,3,0,1410
