,cercospora_leaf_spot,healthy,nutrient_deficiency,powdery_mildew
cercospora_leaf_spot,164,12,2,3
healthy,11,49,6,2
nutrient_deficiency,18,3,42,0
powdery_mildew,0,1,0,19
